# {"t_start": 1619879503.7690523, "env_id": "Fetch-M2-v0"} 
r,l,t
-393.577636,1000,9.433876
-1198.101378,1000,17.01808
-862.036942,1000,44.680139
-808.969482,1000,51.54946
-775.992668,1000,90.579088
-672.966555,1000,98.424016
-774.235286,1000,127.509567
-552.353897,1000,134.474968
-502.536983,1000,173.748157
-609.691669,1000,182.389102
-733.634333,1000,211.860914
-625.664309,1000,218.576244
-576.476522,1000,248.732991
-661.82539,1000,258.447263
-799.562203,1000,290.804754
-747.781706,1000,297.459132
-579.071007,1000,323.789247
-783.93863,1000,330.409611
-635.075433,1000,361.474787
-734.895478,1000,371.156007
-523.820562,1000,403.270373
-759.301939,1000,410.052549
-793.25422,1000,436.255582
-596.613776,1000,442.336049
-603.035865,1000,482.656002
-749.959181,1000,489.754329
-680.499874,1000,517.844934
-1076.043076,1000,525.34708
-599.138401,1000,552.748595
-572.211572,1000,562.749687
-750.282968,1000,599.434029
-614.946205,1000,606.6018
-534.069864,1000,632.874899
-873.789729,1000,640.019086
-569.31956,1000,677.057943
-563.128704,1000,687.025883
-835.255166,1000,718.047019
-579.594256,1000,724.877657
-671.863402,1000,750.909649
-800.454319,1000,757.438236
-695.486822,1000,792.968244
-608.357939,1000,801.235361
-564.632391,1000,829.160181
-643.537565,1000,835.518346
-684.193057,1000,860.96286
-612.572802,1000,870.522765
-750.38602,1000,907.381467
-918.583948,1000,914.773456
-597.685862,1000,940.742433
-560.566646,1000,947.696869
-669.940562,1000,980.69697
-1060.0092,1000,990.066684
-636.824861,1000,1020.312137
-633.932627,1000,1026.866637
-643.546002,1000,1052.921969
-656.116395,1000,1059.418688
-766.140663,1000,1099.992276
-757.350078,1000,1109.271157
-558.927951,1000,1134.262789
-524.056871,1000,1140.603606
-526.125747,1000,1180.259406
-544.195914,1000,1188.260336
-534.365715,1000,1215.74492
-735.50368,1000,1221.948854
-594.94467,1000,1255.016444
-692.126541,1000,1265.7697
-756.973806,1000,1295.312973
-583.072667,1000,1302.129838
-547.514086,1000,1330.316311
-541.463223,1000,1340.834867
-604.273407,1000,1376.917892
-620.596036,1000,1383.772165
-627.543012,1000,1409.1588
-545.600423,1000,1418.601071
-549.326652,1000,1453.4791
-560.966757,1000,1460.282308
-562.032418,1000,1485.669481
-536.983387,1000,1492.12521
-543.965235,1000,1531.531569
-535.335363,1000,1539.538828
-572.591449,1000,1565.824642
-536.581761,1000,1572.364909
-547.840733,1000,1612.978342
-559.362232,1000,1620.387907
-582.835722,1000,1645.401675
-568.739157,1000,1651.407002
-520.99862,1000,1688.35669
-618.966111,1000,1698.199306
-551.423554,1000,1723.947221
-528.762064,1000,1730.17879
-558.939666,1000,1767.293497
-536.577004,1000,1777.328518
-570.801948,1000,1803.49452
-536.627809,1000,1809.603382
-538.690752,1000,1844.566215
-557.922033,1000,1854.946729
-553.291616,1000,1882.47282
-603.535714,1000,1888.763859
-598.857835,1000,1924.760629
-572.914488,1000,1935.322216
-558.069599,1000,1962.774999
-529.285586,1000,1969.186885
-531.744041,1000,2002.920539
-529.337727,1000,2012.953724
-522.82362,1000,2042.564224
-540.480779,1000,2048.805622
-534.516789,1000,2081.648398
-522.818477,1000,2092.519184
-706.85023,1000,2123.980821
-547.588638,1000,2130.875282
-557.355388,1000,2159.735097
-550.591399,1000,2169.913362
-677.547502,1000,2204.505542
-540.908753,1000,2210.86184
-573.50599,1000,2235.607671
-557.920473,1000,2246.140951
-569.593898,1000,2284.997255
-533.23624,1000,2292.751741
-524.759757,1000,2326.967897
-626.285118,1000,2335.633926
-550.218392,1000,2369.414721
-584.911807,1000,2375.781532
-549.470251,1000,2401.694825
-655.877156,1000,2411.104595
-566.353208,1000,2447.317821
-561.644662,1000,2453.665005
-621.166233,1000,2478.064273
-693.305284,1000,2487.58991
-532.49003,1000,2525.880692
-578.02319,1000,2532.588856
-645.998164,1000,2557.904018
-545.248738,1000,2563.976175
-670.782044,1000,2604.371251
-580.530733,1000,2611.731237
-563.97285,1000,2637.384475
-652.641883,1000,2643.768878
-556.415993,1000,2678.947813
-526.479538,1000,2689.644824
-668.709489,1000,2717.47641
-564.0053,1000,2723.812439
-575.560548,1000,2756.402159
-543.531921,1000,2765.246884
-587.468237,1000,2802.982275
-532.385059,1000,2812.538496
-554.218051,1000,2852.292541
-532.8152,1000,2862.06019
-526.307073,1000,2892.912138
-585.527625,1000,2899.366826
-528.397857,1000,2923.928919
-523.325475,1000,2930.108584
-548.140852,1000,2954.142602
