param_noise_stddev,prob_satisfiability,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.18469664449646242,0.0,-3.3089089393615723,0.22341187298297882,-0.4919218420982361,0.859994649887085,-2.925487995147705,0.20247884094715118,0.4067957401275635,0.8170795440673828,-1.3613183498382568,0.1297946274280548,0.7743335366249084,1000.0,2.0,-778.76416015625,-778.76416015625,0.607147216796875,0.607147216796875,12.331734418869019,2.0,1,2000,162.1831878685096,2.830281972885132,0.025471698492765427,0.7615773677825928
0.17399259391533256,0.0,-3.6924800872802734,0.24664638936519623,0.0003458404680714011,0.997169554233551,-3.558117628097534,0.23631738126277924,-0.0015685271937400103,0.9982223510742188,-1.5519294738769531,0.1728629469871521,0.817677915096283,975.0,4.0,-711.3272094726562,-711.3272094726562,104.26155853271484,104.26155853271484,39.12360119819641,4.0,2,4000,102.24007702502598,2.843966007232666,0.025482026860117912,0.6341349482536316
0.16720346283821505,0.0,-7.137307643890381,0.2923765778541565,-0.00025661467225290835,0.997939944267273,-6.9124345779418945,0.26200804114341736,0.03424270451068878,0.9668093919754028,-2.637138605117798,0.12156490236520767,0.8783024549484253,983.3333333333334,6.0,-685.12158203125,-685.12158203125,92.93245697021484,92.93245697021484,65.86518597602844,6.0,3,6000,91.09516523924631,6.434396266937256,0.07434027642011642,0.008152324706315994
0.17056425244126316,0.0,-9.66823959350586,0.49771368503570557,0.0027288817800581455,0.9956623315811157,-9.537822723388672,0.5255294442176819,0.00010963439854094759,0.999710202217102,-3.788942813873291,0.15502767264842987,0.90162193775177,987.5,8.0,-701.323974609375,-701.323974609375,85.23812103271484,85.23812103271484,95.83122897148132,8.0,4,8000,83.4800939720886,8.841163635253906,0.1383846402168274,0.7284377217292786
0.18469664449646242,0.0,-11.2926025390625,0.8929740786552429,0.0003134155413135886,0.9993743896484375,-11.25525188446045,0.9635738730430603,-0.4990355968475342,0.8610708117485046,-5.096402168273926,0.08954218029975891,0.914931058883667,990.0,10.0,-713.93798828125,-713.93798828125,94.59542083740234,94.59542083740234,126.27966904640198,10.0,5,10000,79.18931111805068,10.593186378479004,0.09738154709339142,0.003514039795845747
0.19605920988138417,0.0,-12.536520004272461,0.900416910648346,3.166198803228326e-05,0.9997459053993225,-12.45389175415039,0.9487757682800293,0.009902344085276127,0.9897526502609253,-5.726797103881836,0.07863371819257736,0.9284894466400146,991.6666666666666,12.0,-699.203369140625,-699.203369140625,95.05258178710938,95.05258178710938,158.62610030174255,12.0,6,12000,75.64959346017646,11.047392845153809,0.19545066356658936,0.999833345413208
0.19605920988138417,0.0,-13.128992080688477,1.0525639057159424,4.4517517380882055e-05,0.999710738658905,-13.085735321044922,1.0860852003097534,0.024726103991270065,0.9757475852966309,-6.507665157318115,0.10201010853052139,0.9339418411254883,992.8571428571429,14.0,-685.5481567382812,-685.5481567382812,94.14811706542969,94.14811706542969,190.51219987869263,14.0,7,14000,73.4861074981781,11.444350242614746,0.15118367969989777,1.001584768295288
0.19605920988138417,0.0,-13.298881530761719,1.1533820629119873,0.0008423232939094305,0.9987093806266785,-13.178550720214844,1.204498052597046,-7.27844235370867e-05,0.999927282333374,-7.155936241149902,0.08977192640304565,0.9424516558647156,993.75,16.0,-678.7574462890625,-678.7574462890625,90.42659759521484,90.42659759521484,224.12503242492676,16.0,8,16000,71.3887236373714,11.691056251525879,0.1921563595533371,0.9350318312644958
0.17748984505303073,0.0,-11.68150520324707,0.6803125739097595,0.016141604632139206,0.9800182580947876,-11.288951873779297,0.6748001575469971,-0.09395557641983032,0.7607106566429138,-7.619442939758301,0.08813626319169998,0.9392215609550476,994.4444444444445,18.0,-667.6578979492188,-667.6578979492188,91.89649200439453,91.89649200439453,254.738835811615,18.0,9,18000,70.66060399723033,10.568058967590332,0.08864284306764603,0.9309983253479004
0.14838458355742482,0.0,-10.629980087280273,0.6220005750656128,0.0010030365083366632,0.9973676204681396,-10.352518081665039,0.6338084936141968,-0.5162856578826904,0.7774595022201538,-7.792158603668213,0.07812508195638657,0.9302769303321838,995.0,20.0,-657.1217651367188,-657.1217651367188,92.77063751220703,92.77063751220703,292.3016073703766,20.0,10,20000,68.42247697481156,9.616599082946777,0.09111066907644272,0.3567659258842468
0.12160776493778987,0.0,-10.76977252960205,0.6498721241950989,0.00046392439980991185,0.9990324378013611,-10.571695327758789,0.6931168437004089,0.000305576337268576,0.9995771050453186,-7.872897624969482,0.043917302042245865,0.9241206645965576,995.4545454545455,22.0,-646.151123046875,-646.151123046875,119.46932983398438,119.46932983398438,330.6080071926117,22.0,11,22000,66.54406282175384,9.7119722366333,0.1258493959903717,0.8605771660804749
0.10579425230886043,0.0,-10.623096466064453,0.7882843613624573,8.602142770541832e-06,0.9999403357505798,-10.277570724487305,0.8276602029800415,0.0974680483341217,0.9153680801391602,-7.862227916717529,0.032568953931331635,0.9219531416893005,995.8333333333334,24.0,-632.778076171875,-632.778076171875,133.3845977783203,133.3845977783203,369.42207050323486,24.0,12,24000,64.96634044443168,9.056780815124512,0.1264183670282364,0.391683965921402
