# {"t_start": 1620949419.9789407, "env_id": "Fetch-M2-v0"} 
r,l,t
-525.677013,1000,65.312372
-613.151463,1000,85.490472
-548.946088,1000,107.089471
-751.05592,1000,128.392633
-712.085938,1000,149.89114
-630.041372,1000,170.289091
-628.789037,1000,192.016795
-364.345725,1000,212.190706
-525.116762,1000,232.551497
-628.52113,1000,253.281759
-707.52387,1000,274.539367
-578.439706,1000,295.78028
-398.394943,1000,317.610644
-513.174138,1000,339.665898
-408.660309,1000,360.196484
-517.88471,1000,381.947726
-749.751724,1000,403.409231
-648.91736,1000,424.402158
-505.028861,1000,446.31859
-330.816007,1000,468.077467
-96.986224,1000,490.269241
-704.957529,1000,512.10945
-541.1714,1000,533.67587
-443.087395,1000,554.449017
-232.977559,1000,575.463267
-134.13008,1000,596.934814
-130.609669,1000,618.728559
-273.814654,1000,640.34232
-149.34898,1000,661.646294
-290.32208,1000,682.447916
-265.835511,1000,703.697993
-345.526092,1000,725.384894
-446.151259,1000,746.711834
-602.78307,1000,768.286235
-760.824226,1000,790.015812
-276.826292,1000,811.532907
-233.892102,1000,833.205852
-118.09173,1000,854.515178
-487.013322,1000,876.302393
-235.102797,1000,898.305276
-326.416605,1000,919.950369
-100.762379,1000,941.578353
-476.354672,1000,962.53192
-422.183621,1000,982.991071
-444.647421,1000,1004.012841
-480.143861,1000,1025.241315
-687.701474,1000,1046.780426
-237.78644,1000,1068.71594
-576.548237,1000,1091.095252
-236.768903,1000,1113.415116
-430.27549,1000,1135.129585
-285.855388,1000,1155.673682
-383.332248,1000,1175.888297
-305.911855,1000,1195.910968
-388.697488,1000,1216.221027
-554.692067,1000,1238.709823
-699.945569,1000,1264.166584
-1159.841349,1000,1286.051791
-1112.581171,1000,1312.582633
-364.293604,1000,1336.151009
-823.435185,1000,1361.052288
-909.751632,1000,1384.450259
-963.476878,1000,1406.601039
-843.044631,1000,1428.809074
-956.373855,1000,1450.461004
-929.687266,1000,1473.536641
-143.76161,1000,1495.134741
-51.588021,1000,1515.595721
-287.316422,1000,1537.600214
-276.260727,1000,1559.601482
-308.727106,1000,1580.937082
-166.040429,1000,1603.057298
-396.508604,1000,1625.268825
-585.221737,1000,1646.832097
-264.028865,1000,1667.746332
-187.594126,1000,1689.472998
-363.741398,1000,1711.38009
-479.024568,1000,1732.904089
-567.268667,1000,1754.810951
-282.503238,1000,1776.417165
-232.724766,1000,1797.827888
-452.715878,1000,1819.052278
-260.657933,1000,1840.297132
-420.588131,1000,1862.265008
-311.292492,1000,1884.455752
-327.344127,1000,1905.759186
-569.819392,1000,1927.057205
-224.24799,1000,1948.419417
-592.514986,1000,1968.444797
