# {"t_start": 1619879506.6692395, "env_id": "Fetch-M1-v0"} 
r,l,t
-906.376073,1000,280.965577
-594.642912,1000,286.187039
-770.546321,1000,309.266655
-775.771331,1000,315.233329
-1119.42054,1000,346.049982
-696.774132,1000,352.75457
-767.038355,1000,383.052916
-534.923888,1000,389.553286
-1022.65106,1000,417.982357
-576.392934,1000,423.827665
-631.255093,1000,452.240767
-649.068589,1000,459.042493
-587.838201,1000,488.748822
-619.377154,1000,494.560842
-785.112053,1000,520.728262
-689.823695,1000,526.888811
-777.096388,1000,555.404704
-592.813408,1000,561.992536
-572.02642,1000,590.87943
-593.826516,1000,597.193825
-886.488442,1000,624.534641
-1011.507996,1000,631.527829
-689.033318,1000,659.787028
-582.322192,1000,667.40432
-869.226532,1000,699.952966
-1058.782458,1000,706.377623
-626.801601,1000,731.850985
-668.933795,1000,739.115762
-728.52003,1000,766.491816
-584.988376,1000,773.166294
-1003.443709,1000,804.994127
-1108.953449,1000,812.29704
-570.928857,1000,838.463989
-638.00066,1000,844.546414
-608.57567,1000,872.792004
-1106.450888,1000,880.138034
-621.975734,1000,908.97238
-768.17216,1000,914.886319
-1002.168222,1000,943.790829
-770.887627,1000,950.88147
-617.400448,1000,979.466483
-781.747516,1000,986.523158
-573.8838,1000,1014.523456
-748.715774,1000,1021.102108
-767.05767,1000,1047.346191
-584.054914,1000,1054.018775
-743.257675,1000,1083.769422
-763.575317,1000,1090.724886
-605.113307,1000,1121.157424
-914.206311,1000,1127.849893
-568.262118,1000,1156.133287
-545.730325,1000,1163.752395
-634.614459,1000,1192.777254
-628.799203,1000,1198.823737
-1146.875213,1000,1229.395203
-635.360832,1000,1235.023818
-1037.969249,1000,1268.855059
-774.131845,1000,1274.883673
-649.647762,1000,1300.062082
-784.355008,1000,1307.27638
-757.573827,1000,1336.886578
-660.556238,1000,1343.557218
-1096.850372,1000,1375.736217
-588.621368,1000,1381.394056
-644.982057,1000,1407.995511
-708.754914,1000,1414.75298
-747.957515,1000,1448.110498
-605.851082,1000,1454.289841
-762.553128,1000,1480.352133
-602.030041,1000,1486.381203
-681.500592,1000,1517.02546
-551.141204,1000,1524.147523
-586.470162,1000,1551.307098
-747.634393,1000,1557.855791
-609.229802,1000,1583.440634
-172.780719,1000,1591.335582
-448.641882,1000,1623.390373
-559.574316,1000,1629.789609
-495.007131,1000,1657.402943
-776.808901,1000,1664.392659
-747.625362,1000,1696.754855
-570.333813,1000,1703.44761
-763.163914,1000,1727.852053
-650.53072,1000,1734.616022
-482.984873,1000,1764.35294
-510.289967,1000,1770.51202
-696.213584,1000,1798.077719
-605.654967,1000,1804.605308
-528.595739,1000,1834.457927
-650.661885,1000,1840.914187
-557.71028,1000,1869.649638
-565.479641,1000,1876.192333
-538.697074,1000,1905.099873
-512.652588,1000,1911.836252
-605.88605,1000,1941.92839
-495.740538,1000,1948.435354
-636.732659,1000,1974.911542
-690.963441,1000,1981.32918
-447.395919,1000,2010.779646
-563.050083,1000,2017.222647
-654.359945,1000,2045.161693
-663.737173,1000,2051.375513
-532.572082,1000,2080.482047
-439.352424,1000,2087.093494
-572.62609,1000,2114.752923
-667.712914,1000,2121.086449
