param_noise_stddev,prob_satisfiability,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.17056425244126316,0.0,-1.1811063289642334,1.4388214349746704,0.09622548520565033,0.9017417430877686,-0.9189159870147705,1.267094612121582,0.545121967792511,0.48309311270713806,-1.101040244102478,-0.06242495775222778,0.7581302523612976,1000.0,2.0,-909.9011840820312,-909.9011840820312,26.6015625,26.6015625,17.70090889930725,2.0,1,2000,112.98854829303555,0.8272200226783752,0.023540230467915535,0.2803388237953186
0.15440959267203633,0.0,-2.472777843475342,2.062180995941162,0.4987204074859619,0.8570168018341064,-2.4264976978302,1.9139108657836914,0.9916812181472778,0.014332102611660957,-1.6122312545776367,0.2202460616827011,0.7775565385818481,975.0,4.0,-659.7855834960938,-659.7855834960938,280.34588623046875,280.34588623046875,50.80459547042847,4.0,2,4000,78.73303513120692,1.9505783319473267,0.02157728001475334,0.07436319440603256
0.15136711368692907,0.0,-3.757258415222168,2.63991117477417,0.5048219561576843,0.8551141619682312,-3.750426769256592,2.4407341480255127,0.4982580542564392,0.8644723892211914,-2.698546886444092,0.386993944644928,0.7842279672622681,983.3333333333334,6.0,-648.959716796875,-648.959716796875,229.73377990722656,229.73377990722656,99.38751292228699,6.0,3,6000,60.36975696022815,2.9378063678741455,0.024427806958556175,0.9751084446907043
0.15440959267203633,0.0,-5.271936893463135,3.2581756114959717,0.994209885597229,0.00831673014909029,-5.196503162384033,3.1698901653289795,0.9999790191650391,4.471551437745802e-05,-3.5137524604797363,0.3807530999183655,0.7999564409255981,987.5,8.0,-643.1970825195312,-643.1970825195312,199.26174926757812,199.26174926757812,137.0323235988617,8.0,4,8000,58.380386392765324,4.235260486602783,0.025850865989923477,0.04124423488974571
0.1639088940674591,0.0,-6.093982696533203,3.9259331226348877,0.9977204203605652,0.0029080291278660297,-6.043050289154053,3.85526180267334,0.7308188676834106,0.43385329842567444,-4.321637153625488,0.4981953203678131,0.75568687915802,990.0,10.0,-626.4766845703125,-626.4766845703125,181.39901733398438,181.39901733398438,174.71627593040466,10.0,5,10000,57.23565218379159,4.879505157470703,0.027440914884209633,0.9973570704460144
0.17056425244126316,0.0,-6.256814956665039,4.4231696128845215,0.5308345556259155,0.8109566569328308,-6.085148334503174,4.434845447540283,0.5344045162200928,0.8070592880249023,-5.251855373382568,0.5513993501663208,0.7220425605773926,991.6666666666666,12.0,-632.9810180664062,-632.9810180664062,167.6373748779297,167.6373748779297,222.1662197113037,12.0,6,12000,54.01361204054122,5.135377407073975,0.029249053448438644,0.2050430327653885
0.16720346283821505,0.0,-5.9497599601745605,4.876635551452637,0.8109224438667297,0.3875111937522888,-5.769052505493164,4.8599019050598145,0.7423871755599976,0.5925922989845276,-6.049896240234375,0.5785261392593384,0.6943402290344238,992.8571428571429,14.0,-642.9077758789062,-642.9077758789062,180.9989471435547,180.9989471435547,260.3070595264435,14.0,7,14000,53.78263665022807,5.520036220550537,0.03042707033455372,1.0835477113723755
0.14259466822295333,0.0,-5.479595184326172,5.14661979675293,0.6849998831748962,0.7032142281532288,-5.2758002281188965,5.133002758026123,0.47602391242980957,0.8521294593811035,-6.791150093078613,0.6231730580329895,0.6649000644683838,993.75,16.0,-646.658203125,-646.658203125,170.63063049316406,170.63063049316406,306.0933928489685,16.0,8,16000,52.27162811676455,5.662137985229492,0.03155885636806488,0.5104426145553589
0.12160776493778987,0.0,-5.190122127532959,5.173282623291016,0.7396371364593506,0.6233068108558655,-5.015859603881836,5.138565540313721,0.9443347454071045,0.13493965566158295,-7.589259624481201,0.6396682262420654,0.6628050208091736,994.4444444444445,18.0,-664.2911376953125,-664.2911376953125,169.7706756591797,169.7706756591797,348.70923590660095,18.0,9,18000,51.618936771784156,5.911846160888672,0.0316663421690464,0.29190221428871155
0.10370968758833489,0.0,-5.2234039306640625,5.14246129989624,0.28130847215652466,0.9251633882522583,-5.054131031036377,5.093672275543213,0.18197913467884064,0.9668104648590088,-8.146745681762695,0.6481624245643616,0.665479302406311,995.0,20.0,-665.2492065429688,-665.2492065429688,161.17543029785156,161.17543029785156,383.6346957683563,20.0,10,20000,52.1329280709174,5.97860050201416,0.031755104660987854,0.14126648008823395
0.09388702724900437,0.0,-4.737820625305176,5.278968811035156,-0.3147624135017395,0.9416115283966064,-4.489173889160156,5.25011682510376,-0.29625174403190613,0.9331899881362915,-8.319060325622559,0.609872043132782,0.7092193365097046,995.4545454545455,22.0,-659.8041381835938,-659.8041381835938,154.84710693359375,154.84710693359375,433.1191985607147,22.0,11,22000,50.794331152042055,5.172931671142578,0.03232536092400551,0.47481676936149597
0.09577415649670935,0.0,-4.491398811340332,5.455757141113281,-0.1278412938117981,0.9329087734222412,-4.26304292678833,5.402726650238037,-0.07448957115411758,0.888582170009613,-8.487741470336914,0.5585769414901733,0.7549436688423157,995.8333333333334,24.0,-667.9813842773438,-667.9813842773438,150.88198852539062,150.88198852539062,470.6060392856598,24.0,12,24000,50.99807056541385,5.3763203620910645,0.03271229565143585,0.33108991384506226
