# {"t_start": 1619879504.4657803, "env_id": "Fetch-M3-v0"} 
r,l,t
-693.026637,1000,459.185484
-911.010762,1000,468.31504
-621.497423,1000,499.335855
-600.499842,1000,507.834158
-355.081857,1000,538.727805
-597.350156,1000,546.868054
-728.752441,1000,580.811975
-770.338255,1000,588.982613
-767.299748,1000,619.698424
-949.269695,1000,627.657708
-657.758651,1000,659.543563
-821.058069,1000,668.144188
-1092.286443,1000,704.447675
-831.704219,1000,712.543747
-955.31145,1000,746.283328
-1059.682867,1000,754.885765
-919.322161,1000,792.544508
-672.876882,1000,800.553366
-589.979099,1000,831.510302
-731.70883,1000,838.909424
-585.423044,1000,870.566366
-660.473607,1000,878.621582
-746.633542,1000,910.262125
-696.85181,1000,917.933736
-750.291101,1000,944.9283
-791.20277,1000,952.972198
-632.086095,1000,986.173766
-727.492641,1000,994.551929
-771.725142,1000,1027.301448
-587.246455,1000,1034.860951
-740.84792,1000,1064.752547
-566.015951,1000,1072.852711
-618.569536,1000,1108.081675
-686.588625,1000,1115.607101
-752.089858,1000,1144.306474
-587.760711,1000,1152.352477
-750.150269,1000,1185.689092
-783.004892,1000,1193.731995
-618.937745,1000,1223.583477
-660.206966,1000,1231.118647
-629.646261,1000,1264.78703
-591.233284,1000,1273.422229
-564.486265,1000,1303.153407
-624.234049,1000,1310.92655
-609.611453,1000,1342.91491
-609.480484,1000,1351.28406
-747.262214,1000,1383.652987
-564.182827,1000,1391.230666
-614.743698,1000,1423.498459
-748.965049,1000,1431.83538
-755.853909,1000,1464.570999
-767.099121,1000,1471.925725
-605.501068,1000,1503.25037
-727.3816,1000,1512.044106
-769.58411,1000,1545.196898
-611.588514,1000,1553.042914
-585.739375,1000,1579.530575
-753.658894,1000,1588.261879
-742.066084,1000,1623.939635
-675.323434,1000,1632.031594
-588.964072,1000,1663.389419
-568.378528,1000,1671.682964
-763.605513,1000,1704.79722
-710.258985,1000,1712.6392
-576.559539,1000,1741.661588
-707.669555,1000,1749.735317
-739.709818,1000,1782.462912
-717.442283,1000,1790.310476
-723.371453,1000,1822.689456
-740.813988,1000,1831.158693
-618.683764,1000,1865.897893
-726.836783,1000,1873.76212
-640.242768,1000,1904.382607
-778.915777,1000,1912.661588
-596.440791,1000,1946.478939
-567.660726,1000,1954.488664
-772.027101,1000,1984.925176
-752.173192,1000,1993.582468
-575.718697,1000,2027.12871
-617.766373,1000,2034.976026
-774.778643,1000,2065.694988
-601.983529,1000,2073.992915
-565.1022,1000,2108.431417
-591.991598,1000,2116.062472
-754.174157,1000,2144.307801
-777.662302,1000,2152.605223
-607.867509,1000,2187.061386
-608.730712,1000,2195.050915
-772.768437,1000,2227.002439
-605.5629,1000,2234.331818
-596.232205,1000,2271.557934
-774.858622,1000,2279.167648
-626.783565,1000,2311.604089
-659.547176,1000,2320.297643
-616.832294,1000,2353.683436
-720.627233,1000,2361.377237
-581.338185,1000,2393.000481
-761.493229,1000,2401.271294
-691.868262,1000,2436.855671
-641.980046,1000,2444.509011
-638.739749,1000,2476.956196
-560.304863,1000,2485.085172
-642.315829,1000,2519.704986
-561.401868,1000,2527.530558
-557.57939,1000,2560.062671
-585.919011,1000,2568.70727
-623.403432,1000,2610.356068
-710.667933,1000,2617.613307
-658.073662,1000,2643.888251
-725.733335,1000,2650.880618
-556.601583,1000,2694.560534
-670.563262,1000,2702.344234
-576.567232,1000,2728.604485
-565.874481,1000,2735.287785
-603.995114,1000,2775.712017
-727.237274,1000,2785.321778
-610.613169,1000,2822.713203
-752.346587,1000,2833.253178
-636.802745,1000,2871.24763
-647.427962,1000,2879.206156
-748.643342,1000,2906.901305
-739.921169,1000,2913.441204
-625.472593,1000,2938.858424
-785.619379,1000,2945.262029
-737.715477,1000,2970.700609
-762.506981,1000,2977.343406
-602.42618,1000,3021.391525
-645.773923,1000,3032.466172
-619.838681,1000,3060.787608
-596.685732,1000,3067.686706
-581.300621,1000,3093.245838
-571.764515,1000,3099.671446
-596.766804,1000,3141.015579
-610.456384,1000,3149.245999
-773.486748,1000,3176.870861
-612.114313,1000,3183.780797
-599.609013,1000,3213.381138
-772.932725,1000,3225.597257
-663.212555,1000,3264.491683
-588.21432,1000,3271.668863
-616.29346,1000,3297.766749
-768.539103,1000,3308.615905
-759.608854,1000,3350.964649
-723.687496,1000,3357.621486
-748.679027,1000,3384.216647
-582.337679,1000,3391.139682
-595.511858,1000,3437.245512
-658.289573,1000,3445.070037
-608.501752,1000,3471.626618
-617.609792,1000,3478.380008
-758.596529,1000,3519.903861
-565.339794,1000,3529.020661
-557.788323,1000,3556.288847
-757.073662,1000,3563.229873
-784.891972,1000,3604.919228
-763.435478,1000,3612.797636
-760.492634,1000,3638.691946
-725.775123,1000,3645.582935
-673.047084,1000,3689.774856
-587.805719,1000,3696.915699
-719.090387,1000,3728.289233
-754.517593,1000,3739.232897
-614.522414,1000,3776.02508
-574.027067,1000,3782.804687
-676.604673,1000,3817.130644
-569.728562,1000,3829.527698
-590.104248,1000,3861.178963
-621.998171,1000,3867.706856
-747.121235,1000,3908.040141
-615.775705,1000,3919.687716
-755.28078,1000,3946.807681
-633.00718,1000,3954.448693
-765.991204,1000,3999.321082
-659.292118,1000,4006.258602
-580.189786,1000,4032.007036
-649.539129,1000,4041.978859
-763.047395,1000,4084.602633
-745.179165,1000,4091.623883
-623.011111,1000,4121.404501
-706.170626,1000,4134.550791
-729.581702,1000,4169.034425
-770.318139,1000,4175.662395
-583.433739,1000,4208.352249
-641.615281,1000,4221.438742
-724.298907,1000,4254.648994
-749.292092,1000,4261.446226
-636.692977,1000,4296.955378
-579.843631,1000,4309.532076
-705.884434,1000,4337.807948
-645.930857,1000,4344.401471
-688.53747,1000,4381.217452
-695.149998,1000,4392.544768
-612.925801,1000,4419.50869
-736.89145,1000,4425.907434
-743.67429,1000,4467.304648
-746.719384,1000,4475.559778
-606.040292,1000,4501.831768
-657.920552,1000,4510.130342
-731.130173,1000,4551.030849
-741.887108,1000,4558.12413
-688.863493,1000,4583.54121
-638.620287,1000,4595.013247
-568.216795,1000,4627.712626
-757.731457,1000,4635.259686
-589.488545,1000,4662.279453
-663.086102,1000,4674.066703
-660.038742,1000,4711.000605
-610.527841,1000,4718.276346
-634.287145,1000,4749.478909
-751.169607,1000,4761.417174
-772.368635,1000,4793.213222
-608.088615,1000,4799.590479
-800.24135,1000,4833.739801
-764.960463,1000,4843.788802
-738.690613,1000,4871.6084
-571.430278,1000,4878.1132
-686.823157,1000,4913.245109
-747.361998,1000,4924.722126
-656.187563,1000,4952.907907
-784.87541,1000,4959.367321
-608.520672,1000,4986.298876
-632.754152,1000,4995.032771
-688.514975,1000,5025.388391
-703.690745,1000,5032.113391
-739.470464,1000,5062.429834
-607.162067,1000,5073.639998
-681.634851,1000,5104.062718
-570.924827,1000,5110.681362
-749.298036,1000,5139.890044
-622.59719,1000,5151.827566
-566.163878,1000,5180.92573
-700.296469,1000,5187.209042
-591.563262,1000,5216.058075
-793.648323,1000,5226.657418
-733.745165,1000,5255.790938
-598.656765,1000,5262.182126
-595.6314,1000,5295.169673
-705.244148,1000,5305.669658
-660.042934,1000,5333.447467
-758.520744,1000,5339.82328
-569.377827,1000,5368.823261
-561.754301,1000,5377.593141
-747.254306,1000,5404.28023
-757.792394,1000,5410.736428
-725.480862,1000,5441.747004
-632.921258,1000,5452.807385
-602.036986,1000,5480.179946
-565.129765,1000,5486.624054
-562.827345,1000,5520.117319
-738.376573,1000,5530.393976
-589.270518,1000,5557.415745
-587.190526,1000,5563.864167
-743.569893,1000,5596.984331
-745.173739,1000,5604.12727
-575.226779,1000,5632.524215
-751.807295,1000,5638.892897
-765.603325,1000,5672.704994
-573.794009,1000,5684.715811
-601.459558,1000,5714.024452
-560.407615,1000,5720.467442
-616.54236,1000,5750.592433
-734.923453,1000,5758.33881
-740.438609,1000,5787.239295
-721.631456,1000,5794.036238
-650.807409,1000,5829.017185
-749.434805,1000,5837.397157
-629.929739,1000,5867.977858
-573.589594,1000,5876.055021
-743.726571,1000,5912.939361
-554.170838,1000,5922.767928
-647.902731,1000,5949.168767
-766.727018,1000,5956.125782
-647.040756,1000,5991.627398
-600.535027,1000,5998.771566
-642.15649,1000,6024.952398
-705.34449,1000,6031.904685
-620.896192,1000,6068.691705
-594.450611,1000,6076.194308
-645.611968,1000,6104.034348
-729.66973,1000,6114.453878
-574.678035,1000,6146.80021
-647.318157,1000,6153.490311
-739.71716,1000,6180.84115
-582.263349,1000,6191.014974
-571.194987,1000,6223.093364
-564.885802,1000,6229.536255
-676.974561,1000,6259.695681
-698.110335,1000,6270.54897
-740.199945,1000,6300.285034
-580.193161,1000,6306.889556
-776.547812,1000,6336.101994
-763.556832,1000,6344.211862
-631.79881,1000,6371.685654
-584.168827,1000,6378.447272
-655.118175,1000,6413.292816
-730.167275,1000,6424.131124
-738.203712,1000,6452.93532
-693.040442,1000,6459.686352
-721.802942,1000,6498.684444
-559.694502,1000,6508.587513
-591.102566,1000,6539.601872
-739.794896,1000,6552.490215
-742.369556,1000,6590.292949
-709.651415,1000,6596.9572
-575.512173,1000,6630.066699
-748.619667,1000,6641.121846
-746.475216,1000,6669.516097
-590.694395,1000,6675.903709
-586.456047,1000,6706.194991
-747.807463,1000,6713.000355
-612.983502,1000,6739.702852
-783.778852,1000,6746.357416
-744.012294,1000,6777.552489
-741.739423,1000,6788.931849
-558.572512,1000,6818.701945
-775.807972,1000,6825.239853
-723.242755,1000,6857.489244
-619.06815,1000,6867.748323
-575.150433,1000,6896.932852
-615.78891,1000,6903.203739
-770.67699,1000,6934.72848
-791.336268,1000,6942.15056
-664.564061,1000,6969.458868
-626.12073,1000,6976.298536
-599.898545,1000,7003.559133
-575.301709,1000,7010.915765
-668.83874,1000,7042.706272
-584.704624,1000,7049.68063
-766.006256,1000,7075.612387
-591.362275,1000,7086.334689
-721.847644,1000,7116.973409
-645.900988,1000,7123.97324
-598.149363,1000,7150.256812
-602.577206,1000,7159.139745
-686.392204,1000,7192.465334
-666.180541,1000,7199.397095
-562.516401,1000,7225.785312
-586.583997,1000,7232.284822
-601.169512,1000,7267.004521
-582.477393,1000,7273.783067
-690.339847,1000,7300.453714
-687.304626,1000,7306.883436
-735.585582,1000,7340.646929
-646.301139,1000,7347.619843
-636.870771,1000,7374.52659
-675.558977,1000,7380.879725
-730.027055,1000,7412.954395
-750.881268,1000,7421.950161
-657.055601,1000,7449.660675
-588.948536,1000,7455.865685
-762.420445,1000,7483.540777
-638.62837,1000,7492.74311
-574.90545,1000,7521.697061
-623.558742,1000,7528.630461
-582.025311,1000,7559.567945
-569.974072,1000,7568.01204
-562.711875,1000,7595.031691
-604.738735,1000,7601.366953
-799.236641,1000,7631.265504
-660.71478,1000,7639.76531
-583.209167,1000,7666.520624
-787.51542,1000,7672.942577
-588.23467,1000,7702.850734
-601.399891,1000,7711.503856
-557.569224,1000,7738.003419
-739.75805,1000,7744.823309
-629.011981,1000,7778.143537
-691.382615,1000,7785.296669
-741.308834,1000,7811.564334
-702.186164,1000,7817.86758
-574.599879,1000,7846.598972
-736.126397,1000,7853.402547
-593.309627,1000,7880.070129
-565.007703,1000,7886.408252
-663.937374,1000,7919.019261
-584.731089,1000,7927.548436
-617.124661,1000,7955.718016
-614.149573,1000,7962.262923
-674.189273,1000,7997.401509
-614.830333,1000,8003.786793
-575.965976,1000,8031.072264
-755.882282,1000,8039.867667
-763.65066,1000,8069.799214
-772.58011,1000,8076.914773
-612.684443,1000,8106.918621
-751.743088,1000,8115.543331
-717.214021,1000,8143.909658
-624.159584,1000,8150.837127
-559.215715,1000,8180.13709
-734.872223,1000,8191.733045
-723.505792,1000,8222.888095
-769.899778,1000,8229.695296
-709.588264,1000,8258.872382
-729.745024,1000,8266.445177
-597.635866,1000,8295.343693
-554.644465,1000,8302.331674
-622.057148,1000,8329.597641
-740.327591,1000,8338.902071
-785.875544,1000,8368.532323
-596.067773,1000,8375.386244
-746.721718,1000,8401.328054
-601.550411,1000,8408.788219
-768.320114,1000,8435.392332
-565.24133,1000,8441.780553
-598.540432,1000,8467.985601
-571.972594,1000,8474.469763
-628.657901,1000,8501.832537
-732.541574,1000,8508.687942
-787.272629,1000,8535.170865
-567.081799,1000,8541.527093
-689.849696,1000,8572.605334
-594.564761,1000,8579.968758
-762.135802,1000,8607.035636
-651.079438,1000,8613.662852
-624.143259,1000,8645.427179
-741.432557,1000,8652.237366
-555.856474,1000,8678.52571
-597.410681,1000,8685.241014
-588.095208,1000,8714.928776
-701.944562,1000,8722.079309
