# {"t_start": 1620949427.3785262, "env_id": "Fetch-M1-v0"} 
r,l,t
-916.47301,1000,59.666118
-985.359493,1000,79.274566
-650.173786,1000,99.131861
-713.239606,1000,120.71436
-587.4416,1000,140.449829
-986.319283,1000,160.480172
-544.109896,1000,180.628691
-1194.778187,1000,201.835423
-653.931638,1000,223.225662
-743.006517,1000,244.42287
-780.632402,1000,266.046824
-726.239239,1000,287.237648
-748.472419,1000,308.674686
-579.857317,1000,330.117704
-344.655365,1000,351.65176
-595.381596,1000,373.392473
-633.269816,1000,395.003365
-585.255809,1000,416.33726
-756.803536,1000,438.510884
-680.020337,1000,459.993704
-602.506764,1000,481.55637
-483.526432,1000,503.183326
-692.333593,1000,524.577228
-420.033203,1000,546.686687
-269.106751,1000,568.383534
-558.646773,1000,589.824984
-752.463852,1000,610.985132
-350.826039,1000,633.108062
-576.503099,1000,654.184409
-698.986464,1000,676.02597
-789.900957,1000,697.381731
-768.575034,1000,718.746559
-534.751332,1000,740.074787
-728.64563,1000,761.480587
-665.351739,1000,783.030941
-584.920181,1000,804.213419
-749.549471,1000,825.486205
-599.263913,1000,846.7082
-761.241357,1000,868.066108
-786.453893,1000,889.528756
-769.751459,1000,911.558247
-632.401031,1000,932.057883
-170.178645,1000,954.081123
-590.877595,1000,975.698879
-615.550721,1000,997.097161
-588.973362,1000,1019.147241
-600.872359,1000,1040.468728
-586.369693,1000,1062.020511
-730.640613,1000,1084.421494
-648.152699,1000,1106.342154
-708.907989,1000,1128.067185
-752.523412,1000,1150.386979
-609.990268,1000,1172.242095
-757.406572,1000,1194.181534
-663.629714,1000,1215.912706
-206.905754,1000,1237.489125
-642.758074,1000,1259.813418
-586.48138,1000,1281.743099
-741.836464,1000,1303.464159
-582.685475,1000,1325.246379
-743.577709,1000,1347.001942
-614.203492,1000,1369.036229
-565.378255,1000,1390.903591
-617.224703,1000,1412.90514
-744.09355,1000,1434.663199
-711.217291,1000,1456.336903
-714.663886,1000,1478.33689
-687.661055,1000,1499.961361
-754.077752,1000,1521.921107
-780.82096,1000,1543.831023
-703.888848,1000,1565.723363
-740.022882,1000,1587.618865
-725.039963,1000,1609.374257
-765.097538,1000,1630.91855
-577.216302,1000,1652.668038
-575.115771,1000,1674.839357
-765.422566,1000,1696.529538
-561.232752,1000,1718.260566
-748.795189,1000,1740.068042
-746.952216,1000,1761.885379
-665.154772,1000,1783.822673
-565.998913,1000,1806.129577
