# {"t_start": 1619879506.233703, "env_id": "Fetch-M2-v0"} 
r,l,t
-982.424799,1000,262.134231
-1102.565811,1000,268.032582
-710.636768,1000,294.399444
-674.515454,1000,300.309798
-748.56101,1000,326.705556
-853.122995,1000,333.703157
-1005.252673,1000,364.482819
-622.572933,1000,371.557586
-757.891962,1000,401.519873
-745.031337,1000,408.63826
-782.752993,1000,437.072533
-1285.515413,1000,444.345131
-532.965807,1000,478.387713
-1228.286208,1000,485.184224
-769.926919,1000,515.076471
-627.270993,1000,521.106003
-598.754425,1000,551.556981
-552.315313,1000,558.811735
-96.999462,1000,591.643541
-624.779897,1000,598.846735
-561.051903,1000,629.921833
-768.67798,1000,636.405395
-682.931017,1000,670.743436
-701.440212,1000,677.31035
-749.374046,1000,709.715016
-766.875628,1000,717.037112
-759.468425,1000,746.615616
-656.779391,1000,753.536274
-749.274341,1000,786.683357
-571.535513,1000,794.098508
-755.26159,1000,823.76029
-573.57342,1000,830.630315
-1109.240076,1000,862.361614
-554.629038,1000,870.065802
-750.594361,1000,902.579026
-571.724049,1000,909.155228
-758.320227,1000,939.410158
-736.544683,1000,945.775166
-548.886253,1000,977.796791
-593.514208,1000,985.179016
-576.559651,1000,1017.614219
-567.336104,1000,1024.166629
-729.611627,1000,1053.158243
-617.060629,1000,1060.47298
-564.375698,1000,1093.403844
-618.859411,1000,1100.883415
-702.886962,1000,1132.22779
-662.526231,1000,1138.688054
-600.273238,1000,1171.779496
-618.69974,1000,1179.127109
-671.075134,1000,1209.68792
-610.361639,1000,1216.726945
-582.518873,1000,1248.156
-748.715749,1000,1255.460035
-765.068583,1000,1287.149053
-728.770951,1000,1294.012152
-734.60624,1000,1323.893842
-566.755972,1000,1331.177287
-732.560253,1000,1365.810953
-616.690648,1000,1372.757314
-552.998204,1000,1400.611868
-782.505764,1000,1407.398902
-755.121489,1000,1442.507551
-562.108438,1000,1449.780783
-764.478938,1000,1478.983652
-735.486868,1000,1485.764469
-763.745872,1000,1518.884616
-794.255148,1000,1526.222723
-664.146591,1000,1555.904788
-685.201066,1000,1561.961306
-685.107127,1000,1592.625562
-58.462439,1000,1601.44476
-768.867743,1000,1634.792801
-747.121576,1000,1642.096401
-708.394081,1000,1674.849241
-776.822191,1000,1682.150604
-582.879495,1000,1713.423402
-192.894255,1000,1719.66626
-575.824046,1000,1751.868386
-330.977869,1000,1759.636669
-645.699616,1000,1792.007541
-487.982017,1000,1799.121165
-584.047931,1000,1831.956746
-587.876681,1000,1839.728791
-606.07019,1000,1871.916023
-733.89064,1000,1879.320569
-579.459837,1000,1910.776002
-754.020765,1000,1918.572181
-765.66236,1000,1950.300463
-590.342737,1000,1957.388595
