# {"t_start": 1620949420.8821306, "env_id": "Fetch-M1-v0"} 
r,l,t
-689.646586,1000,65.805323
-699.568618,1000,85.856846
-1058.537038,1000,106.94507
-1215.29072,1000,128.233018
-944.733571,1000,149.061161
-458.424566,1000,169.330825
-549.726196,1000,189.259609
-494.999642,1000,209.244243
-857.665037,1000,230.18811
-723.236363,1000,250.604574
-533.468051,1000,270.586074
-508.801431,1000,291.413101
-793.410729,1000,312.446844
-739.736952,1000,333.651733
-756.382177,1000,355.110374
-691.097516,1000,376.186022
-750.921136,1000,397.665869
-710.454146,1000,419.026799
-269.080488,1000,440.653106
-794.458403,1000,462.251084
-247.853196,1000,484.103456
-743.271971,1000,505.656147
-777.700934,1000,527.904065
-601.748022,1000,549.900899
-730.082846,1000,572.092185
-584.130905,1000,594.177045
-259.224119,1000,616.34176
-124.155373,1000,638.003886
-712.216625,1000,659.514676
-577.40661,1000,681.115618
-727.867152,1000,702.723662
-245.340551,1000,724.390821
-575.307672,1000,746.255894
-560.888555,1000,767.918608
-566.145467,1000,789.481104
-577.415393,1000,811.95639
-629.138509,1000,833.795548
-559.530127,1000,855.706106
-743.974235,1000,877.872284
-691.795154,1000,899.779375
-758.231817,1000,921.340002
-714.092359,1000,942.833477
-450.901075,1000,963.304922
-535.233386,1000,984.112745
-572.138323,1000,1005.430727
-887.474689,1000,1026.862226
-440.412263,1000,1048.779716
-1074.668691,1000,1070.583563
-1063.986045,1000,1092.582226
-596.908313,1000,1112.482315
-749.12718,1000,1132.715172
-1240.527112,1000,1153.354262
-403.295107,1000,1173.553182
-1044.842237,1000,1194.76189
-168.816935,1000,1216.645306
-1315.305261,1000,1237.987653
-409.066939,1000,1259.364012
-207.777174,1000,1280.691805
-483.644351,1000,1301.929024
-241.330214,1000,1323.276994
-377.7341,1000,1344.693149
-292.099415,1000,1366.521671
-318.230365,1000,1386.68463
-298.971277,1000,1408.225384
-167.836827,1000,1430.052088
-277.403375,1000,1451.451171
-319.115013,1000,1472.128498
-286.000833,1000,1493.507754
-297.99278,1000,1514.956803
-284.484945,1000,1536.78042
-220.711009,1000,1558.32008
-1025.596188,1000,1578.546903
-192.072225,1000,1600.382941
-209.977246,1000,1622.097734
-213.627512,1000,1643.56519
-785.798138,1000,1663.566136
-901.334745,1000,1683.661653
-1231.23219,1000,1704.385338
-499.520123,1000,1725.205614
-540.709322,1000,1746.555318
-475.212835,1000,1767.066625
-1090.662626,1000,1787.540488
-919.610628,1000,1812.171464
-348.181278,1000,1833.958794
-550.864462,1000,1854.751618
-1200.459939,1000,1876.883224
-288.659566,1000,1897.902151
-414.193185,1000,1919.602818
-129.049121,1000,1941.127396
-205.129617,1000,1962.77037
-392.388162,1000,1985.086691
-343.025611,1000,2006.332075
-374.93311,1000,2027.966253
-225.985916,1000,2048.601773
-1218.462191,1000,2068.094574
-527.422687,1000,2088.769522
-767.099368,1000,2107.643025
-321.988142,1000,2126.98359
-289.341855,1000,2146.087374
-640.483438,1000,2502.302959
-190.599849,1000,2521.420365
-304.412987,1000,2540.771473
-216.428189,1000,2560.525616
-636.97915,1000,2580.744974
-149.542631,1000,2601.483811
-275.962332,1000,2621.652033
-189.237126,1000,2642.182781
-264.510894,1000,2663.156738
-51.747615,1000,2685.220805
-72.647955,1000,2706.665917
-243.606801,1000,2727.633927
-252.233237,1000,2748.870009
-276.580073,1000,2770.209889
-301.545541,1000,2791.137201
-285.98161,1000,2813.137005
-214.963654,1000,2834.798662
-166.336422,1000,2856.111043
-276.915942,1000,2877.883569
-209.797612,1000,2899.445445
-182.160924,1000,2920.550434
-316.272972,1000,2942.020292
-266.004674,1000,2962.492175
-381.115626,1000,2983.690932
-71.573067,1000,3005.508762
-56.143767,1000,3027.921429
-135.984334,1000,3049.405144
-49.868867,1000,3071.249764
-291.528729,1000,3092.687624
-342.015363,1000,3115.939343
-580.899696,1000,3137.700905
-992.007481,1000,3159.849005
-371.449237,1000,3183.137218
-830.362252,1000,3207.250336
-312.133702,1000,3229.258418
-430.329572,1000,3250.797147
-393.77896,1000,3272.502654
-642.129226,1000,3297.600152
