# {"t_start": 1620949416.5604632, "env_id": "Fetch-M2-v0"} 
r,l,t
-789.936138,1000,59.248179
-852.44971,1000,83.589014
-1197.64243,1000,104.526644
-1120.046377,1000,125.106451
-1178.80823,1000,146.051609
-946.897142,1000,166.83294
-885.335605,1000,191.52009
-996.585233,1000,213.416251
-1054.558592,1000,234.929065
-1116.870951,1000,256.517357
-1228.366654,1000,277.290965
-587.547237,1000,297.121125
-786.691182,1000,316.868968
-751.057871,1000,336.644591
-678.105316,1000,356.576802
-611.082761,1000,376.263271
-791.036243,1000,395.995708
-632.117449,1000,415.539955
-576.808581,1000,435.586569
-604.987488,1000,455.208224
-565.146564,1000,475.19837
-586.034414,1000,494.95425
-732.09407,1000,514.692975
-777.643548,1000,534.648361
-753.10859,1000,555.499309
-622.132317,1000,575.300228
-748.546462,1000,594.785219
-690.957596,1000,614.400161
-740.316694,1000,634.286858
-747.498604,1000,654.185959
-649.763416,1000,673.790204
-596.909969,1000,694.028346
-776.25506,1000,713.895726
-565.18573,1000,733.639867
-681.351942,1000,753.463441
-602.926544,1000,774.302111
-629.205955,1000,794.175179
-737.292812,1000,813.965654
-755.487145,1000,833.80038
-715.942731,1000,853.468973
-749.854373,1000,873.445081
-691.21895,1000,893.260301
-723.576236,1000,912.938644
-1062.056268,1000,933.155731
-751.838789,1000,952.993983
-589.840856,1000,972.796684
-733.495222,1000,992.711641
-609.953485,1000,1012.750145
-611.67153,1000,1032.106459
-643.963147,1000,1052.085177
-748.687605,1000,1071.84172
-582.162046,1000,1091.712911
-788.98248,1000,1111.082237
-674.941698,1000,1130.505909
-640.036493,1000,1150.032098
-607.715497,1000,1170.247145
-730.870365,1000,1190.144521
-564.652644,1000,1209.917353
-632.730278,1000,1229.760023
-776.632007,1000,1249.604308
-623.957822,1000,1269.36014
-706.150174,1000,1289.018227
-664.830845,1000,1308.598307
-624.526749,1000,1328.200842
-602.478293,1000,1348.086093
-594.987551,1000,1367.801165
-652.979805,1000,1387.43855
-752.098398,1000,1407.479503
-745.593117,1000,1427.04778
-748.624521,1000,1446.509517
-606.568001,1000,1465.85597
-630.465306,1000,1485.27133
-719.493394,1000,1505.05516
-783.335799,1000,1524.575748
-554.509181,1000,1544.580692
-587.650605,1000,1564.642398
-643.227977,1000,1584.587769
-535.520226,1000,1604.481581
-515.499273,1000,1624.757416
-521.658366,1000,1645.046555
-617.959387,1000,1665.526223
-644.03641,1000,1685.555875
-957.439244,1000,1708.235856
-516.799084,1000,1728.62677
-698.140555,1000,1748.547458
-593.249336,1000,1768.252576
-609.445901,1000,1787.874966
-549.601467,1000,1807.64456
-522.241911,1000,1827.749123
-649.458625,1000,1847.88322
-525.184376,1000,1868.224815
-550.666242,1000,1888.540441
-541.440104,1000,1908.771768
-540.960652,1000,1928.720833
-542.349501,1000,1948.486627
-515.259336,1000,1968.687025
-523.154258,1000,1988.133533
-552.771672,1000,2008.546015
-524.175172,1000,2028.100427
-556.60607,1000,2343.688526
-521.392024,1000,2359.120057
-544.808801,1000,2374.306871
-584.561078,1000,2389.611595
-588.631009,1000,2405.181338
-529.850556,1000,2421.004104
-528.046562,1000,2436.885493
-527.652898,1000,2453.207444
-551.371449,1000,2469.356161
-542.767289,1000,2485.66681
-546.227438,1000,2502.474254
-523.643749,1000,2520.222412
-534.770536,1000,2539.423072
-535.298001,1000,2558.037588
-549.03084,1000,2576.576991
-526.856069,1000,2595.309358
-553.871018,1000,2614.196517
-551.773402,1000,2633.271355
-536.36003,1000,2653.349784
-545.699782,1000,2673.530794
-526.806435,1000,2693.438755
-540.776698,1000,2713.824837
-526.889497,1000,2733.5454
-553.180885,1000,2753.468834
-536.537738,1000,2773.280156
-526.669232,1000,2792.939304
-565.609707,1000,2813.233707
-550.322402,1000,2833.407231
-535.603656,1000,2853.620398
-524.868344,1000,2874.021564
-524.989116,1000,2894.973741
-573.726064,1000,2915.238736
-534.801476,1000,2935.319161
-525.958403,1000,2955.779294
-545.242787,1000,2976.391929
-551.854188,1000,2996.873595
-521.081621,1000,3017.647804
-527.601577,1000,3038.31285
-524.561963,1000,3059.51128
-532.116487,1000,3080.422116
-540.95999,1000,3100.898045
-514.370808,1000,3121.92929
-513.425299,1000,3142.854506
-529.003712,1000,3163.412054
-530.525314,1000,3183.911572
-561.414721,1000,3204.6903
-514.880656,1000,3225.568223
-534.496689,1000,3246.557484
-553.350036,1000,3268.006596
-528.931896,1000,3288.800838
-523.989033,1000,3309.414983
-548.069167,1000,3330.331454
-569.174947,1000,3350.882623
-546.438576,1000,3371.873022
-523.032581,1000,3392.615355
-522.995787,1000,3413.204453
-533.55675,1000,3434.208929
-535.034512,1000,3454.924603
-544.992609,1000,3475.66513
-511.370159,1000,3496.361978
-524.195496,1000,3517.182137
-530.236286,1000,3538.030125
-538.281483,1000,3559.082978
-534.371777,1000,3580.014962
-529.291582,1000,3601.05186
-531.024666,1000,3621.598227
-541.61921,1000,3642.09143
-532.552742,1000,3662.580598
-520.021752,1000,3683.242227
-525.926855,1000,3704.082943
-556.443961,1000,3725.028723
-572.633209,1000,3745.633092
-596.276026,1000,3766.643419
-548.26199,1000,3787.739892
-528.174897,1000,3808.854749
-630.029705,1000,3829.658434
-560.538704,1000,3850.451632
-536.438034,1000,3870.91855
-557.998647,1000,3892.294078
-527.279698,1000,3913.575563
-544.626445,1000,3934.526607
-528.671164,1000,3955.590854
-512.428193,1000,3976.220285
-531.509966,1000,3997.083832
-522.64941,1000,4017.858169
-525.122967,1000,4038.270259
-567.020989,1000,4059.126759
-527.949618,1000,4080.315645
-538.979603,1000,4101.33741
-524.559542,1000,4121.899166
-538.285295,1000,4142.872566
-535.861833,1000,4164.048764
-554.195281,1000,4184.523815
-573.465834,1000,4205.458614
-533.778175,1000,4226.290074
-554.444744,1000,4246.857007
-548.910495,1000,4267.552905
-551.350955,1000,4288.100692
-516.08262,1000,4308.590448
-590.238151,1000,4329.088368
-530.597013,1000,4698.942589
-597.904052,1000,4716.062357
-532.428255,1000,4732.992922
-523.089823,1000,4750.200578
-562.036045,1000,4767.28507
-546.69279,1000,4784.442049
-593.872766,1000,4801.538465
-568.524213,1000,4818.517793
-578.300789,1000,4835.159099
-549.139833,1000,4852.311875
-535.133207,1000,4869.086926
-511.280171,1000,4886.05956
-519.079755,1000,4902.963176
