# {"t_start": 1620949431.430898, "env_id": "Fetch-M3-v0"} 
r,l,t
-1012.784466,1000,62.542886
-714.784868,1000,82.522261
-1073.43048,1000,103.695776
-822.078361,1000,125.997806
-938.018823,1000,148.194313
-718.986592,1000,169.631311
-1089.860763,1000,191.667897
-710.967167,1000,212.107111
-581.530084,1000,232.181948
-759.564878,1000,252.595318
-1059.403682,1000,273.681304
-571.559082,1000,294.647528
-713.867141,1000,315.080325
-754.877674,1000,335.112643
-632.564993,1000,355.410747
-587.354498,1000,375.970695
-759.362716,1000,396.072458
-601.572447,1000,416.505741
-742.381388,1000,438.466832
-602.809909,1000,459.962027
-757.504281,1000,481.821019
-745.851891,1000,503.758358
-160.329163,1000,525.314643
-578.52103,1000,547.065397
-559.194342,1000,568.946795
-573.477261,1000,590.398878
-770.898919,1000,610.632761
-585.938878,1000,632.240103
-563.688215,1000,653.962091
-735.067533,1000,675.648012
-578.846456,1000,696.95517
-545.059722,1000,718.376024
-707.031611,1000,739.058371
-318.90961,1000,761.767248
-591.561338,1000,783.812784
-335.847031,1000,805.510459
-531.861189,1000,826.747036
-1194.634796,1000,853.217037
-404.18979,1000,875.03886
-471.25635,1000,896.592278
-693.305563,1000,918.999187
-882.037367,1000,940.733067
-597.346298,1000,960.95975
-712.556213,1000,981.56113
-268.608465,1000,1003.721827
-410.680431,1000,1024.583513
-358.682615,1000,1046.420333
-669.732788,1000,1067.132939
-428.500617,1000,1089.50353
-529.034529,1000,1111.940886
-759.342561,1000,1132.407017
-387.186044,1000,1154.702997
-616.973172,1000,1176.195156
-628.207607,1000,1197.062032
-112.808653,1000,1218.995658
-526.636565,1000,1240.180564
-528.585972,1000,1261.836845
-392.87107,1000,1284.452594
-283.421651,1000,1306.284789
-561.493103,1000,1328.628434
-307.231678,1000,1350.709563
-532.459419,1000,1372.643928
-630.860691,1000,1395.152854
-522.895405,1000,1416.480161
-424.224992,1000,1438.432257
-403.60263,1000,1460.494908
-575.813158,1000,1481.171426
-292.42646,1000,1502.687212
-541.830523,1000,1523.656868
-507.896775,1000,1544.464214
-361.14713,1000,1564.920159
-218.319496,1000,1586.542873
-517.296011,1000,1608.475714
-372.466186,1000,1630.597612
-321.571624,1000,1652.384233
-279.178339,1000,1674.140752
-324.060925,1000,1695.39592
-670.667588,1000,1716.051983
-876.171626,1000,1739.620218
-482.557786,1000,1762.915411
-384.726564,1000,1783.93482
-1214.599435,1000,1805.581101
-970.882657,1000,1827.163962
-929.992399,1000,1848.67694
-1126.35423,1000,1869.581661
-486.527235,1000,1889.890473
-722.363455,1000,1911.050739
-1224.357725,1000,1933.325
-141.087138,1000,1955.821731
-1204.097499,1000,1977.683634
-507.158508,1000,1998.325808
-977.283964,1000,2019.599571
-59.943651,1000,2040.396217
-96.260878,1000,2061.318881
-577.003648,1000,2082.411314
-660.19546,1000,2101.645993
-890.803517,1000,2120.549344
-1556.363499,1000,2138.8891
-650.585646,1000,2157.399091
-979.640058,1000,2522.453175
-732.4307,1000,2544.155104
-1089.928021,1000,2564.22991
-1038.921586,1000,2584.651127
-515.071138,1000,2609.421207
-739.922303,1000,2633.543442
-305.58164,1000,2654.275562
-806.035918,1000,2675.916327
-1165.147612,1000,2696.66209
-576.757663,1000,2720.336756
-276.568347,1000,2742.112814
-494.258564,1000,2762.841603
-166.727568,1000,2785.108652
-1298.276428,1000,2806.61536
-1070.139192,1000,2828.241859
-797.84832,1000,2849.828308
-840.172876,1000,2872.272403
-299.25172,1000,2895.603075
-1132.9692,1000,2918.137752
-364.885419,1000,2940.570341
-516.697173,1000,2964.146779
-281.687496,1000,2990.201752
-170.579907,1000,3012.054842
-573.984491,1000,3034.159317
-363.015781,1000,3054.903291
-215.449073,1000,3077.004083
-296.69492,1000,3099.614042
-311.616577,1000,3121.249389
-842.454104,1000,3146.756615
-1119.478863,1000,3169.466703
-245.859639,1000,3191.862701
-346.648341,1000,3213.94367
-558.219215,1000,3239.249779
-304.471876,1000,3261.497328
-239.09497,1000,3284.050209
-305.082188,1000,3306.859348
-748.34323,1000,3329.541977
-886.880003,1000,3354.390317
-141.699311,1000,3376.337894
-53.433675,1000,3398.781126
-204.289767,1000,3421.063457
-712.954844,1000,3446.575425
-213.792007,1000,3468.96646
-384.697188,1000,3490.510856
-341.056811,1000,3513.140746
-1006.776313,1000,3536.502828
-342.568963,1000,3559.567675
-122.217252,1000,3582.153529
-265.397475,1000,3603.977957
-1036.189822,1000,3629.820742
-243.654569,1000,3652.508936
-161.200737,1000,3674.759119
-189.566863,1000,3696.096542
-364.59668,1000,3717.586227
-299.054692,1000,3738.932009
-343.148475,1000,3760.194983
-242.744433,1000,3781.737303
-354.277351,1000,3802.542109
-167.715137,1000,3824.13901
-939.232693,1000,3845.653829
-532.140838,1000,3866.907981
-623.941297,1000,3888.481355
-634.84363,1000,3909.321018
-331.015891,1000,3930.651062
