# {"t_start": 1619879505.091264, "env_id": "Fetch-M3-v0"} 
r,l,t
-786.49348,1000,167.949757
-1262.51895,1000,177.499797
-651.041031,1000,205.14373
-852.53126,1000,211.492838
-1022.046826,1000,240.412184
-566.69038,1000,250.236782
-779.810842,1000,284.550084
-802.519855,1000,290.751117
-1014.466309,1000,318.777582
-824.746299,1000,324.720848
-824.024674,1000,353.145557
-704.833917,1000,362.438175
-113.280222,1000,394.278144
-538.011981,1000,401.278686
-658.350211,1000,427.566245
-773.715334,1000,433.573164
-620.356894,1000,466.407593
-613.4823,1000,473.321828
-695.573864,1000,503.538341
-673.984817,1000,510.671864
-791.985563,1000,538.534317
-638.712222,1000,545.050238
-547.431019,1000,577.909736
-618.102225,1000,584.34692
-609.381483,1000,612.432781
-752.343335,1000,618.834974
-762.172685,1000,649.585924
-670.508423,1000,656.213974
-699.184125,1000,690.330634
-704.95822,1000,697.148287
-684.185686,1000,727.192477
-570.67967,1000,734.469397
-730.808239,1000,765.380821
-746.000621,1000,772.524866
-537.662372,1000,803.957657
-750.439211,1000,810.49222
-709.834232,1000,839.910912
-634.674589,1000,846.763285
-246.205157,1000,878.3346
-743.344514,1000,885.295579
-693.717855,1000,915.998715
-592.281099,1000,923.065344
-695.18663,1000,951.358175
-561.315907,1000,958.044444
-685.456364,1000,990.849029
-678.508789,1000,997.746804
-584.723034,1000,1029.212973
-727.641537,1000,1035.348393
-690.902609,1000,1064.780549
-551.547188,1000,1071.914931
-695.299721,1000,1106.604612
-740.005016,1000,1113.567726
-610.587535,1000,1142.316896
-533.952525,1000,1149.575456
-560.959106,1000,1182.799153
-718.840936,1000,1189.258925
-516.747878,1000,1218.577831
-640.526326,1000,1224.8181
-516.3056,1000,1256.364671
-565.026293,1000,1262.931223
-567.461057,1000,1292.833873
-510.14249,1000,1299.130351
-589.479742,1000,1328.899366
-704.990995,1000,1336.014203
-658.789545,1000,1369.616604
-518.052674,1000,1375.958773
-667.267022,1000,1404.167928
-644.261543,1000,1410.397515
-436.595664,1000,1442.91058
-466.563788,1000,1449.580947
-678.184505,1000,1475.439512
-542.278331,1000,1482.050926
-519.929423,1000,1513.919419
-458.433455,1000,1521.261114
-511.014304,1000,1551.537785
-550.930984,1000,1557.590074
-614.399438,1000,1583.223795
-666.362217,1000,1590.681043
-641.263536,1000,1624.624269
-551.961322,1000,1631.50431
-427.216986,1000,1660.032199
-588.215252,1000,1666.351147
-639.212539,1000,1695.85845
-706.542794,1000,1702.018441
-245.631007,1000,1730.105043
-602.005459,1000,1736.519063
-470.407661,1000,1766.382922
-472.209688,1000,1772.93841
-668.879123,1000,1801.180901
-681.023993,1000,1808.165599
-550.54069,1000,1840.814708
-604.818606,1000,1848.228939
-707.751934,1000,1876.861068
-574.040426,1000,1883.563469
-464.48949,1000,1912.731961
-704.661224,1000,1919.144219
-624.2826,1000,1948.683182
-469.833201,1000,1954.688292
-630.88915,1000,1981.513719
-430.594956,1000,1988.035889
-603.557544,1000,2019.474613
-659.757896,1000,2025.965446
-563.607218,1000,2055.687718
-550.481834,1000,2062.190551
-541.763511,1000,2093.832369
-597.688326,1000,2100.489716
-489.055308,1000,2129.301541
-534.802565,1000,2135.487025
-427.866192,1000,2163.141024
-452.841968,1000,2170.083948
-453.92563,1000,2200.480712
-446.816643,1000,2206.843708
-591.524355,1000,2235.835444
-604.515434,1000,2243.374827
-689.052996,1000,2277.398917
-670.470957,1000,2283.823097
-436.097112,1000,2313.991246
-718.039578,1000,2321.304936
-696.335597,1000,2354.122981
-439.538249,1000,2361.028071
-680.513452,1000,2390.500593
-665.876036,1000,2396.085483
-697.059779,1000,2429.244412
-697.495977,1000,2436.628728
-591.433956,1000,2466.943091
-655.499791,1000,2473.415071
-558.89071,1000,2505.483478
-608.804848,1000,2512.460255
-698.94006,1000,2542.153444
-692.217013,1000,2548.873995
-689.317189,1000,2579.350404
-447.867545,1000,2586.42107
-685.395791,1000,2617.118203
-670.565268,1000,2623.527797
-449.942625,1000,2653.556762
-556.876834,1000,2660.42489
-645.779514,1000,2691.914894
-655.591748,1000,2698.33125
-555.848724,1000,2729.274544
-527.695251,1000,2735.657522
-661.189948,1000,2766.050606
-512.31067,1000,2772.927455
-646.695561,1000,2802.516675
-514.186819,1000,2809.703132
-733.186782,1000,2840.772033
-653.79687,1000,2847.151694
-723.059909,1000,2878.609827
-656.849228,1000,2885.415503
-550.649027,1000,2916.419578
-623.80085,1000,2922.994558
-667.422107,1000,2954.122932
-709.17784,1000,2960.861756
-611.016231,1000,2991.186789
-715.463148,1000,2998.928333
-477.177613,1000,3030.727384
-434.640844,1000,3037.520741
-730.720313,1000,3065.314485
-562.349833,1000,3072.469383
-439.784546,1000,3101.324239
-582.269801,1000,3109.133306
-620.739332,1000,3144.182092
-470.818456,1000,3151.035045
-553.319441,1000,3182.69872
-626.285467,1000,3189.305002
-669.002916,1000,3218.348324
-700.4962,1000,3225.289358
-533.236429,1000,3255.95262
-638.466853,1000,3261.868144
-581.095727,1000,3288.204081
-522.606351,1000,3294.031506
-683.516774,1000,3324.338932
-465.32637,1000,3331.008672
-633.867253,1000,3360.067369
-478.97568,1000,3366.334636
-541.028531,1000,3389.913658
-442.650357,1000,3396.274593
-588.156511,1000,3426.739911
-531.434511,1000,3433.262072
-498.358596,1000,3462.552466
-591.262405,1000,3469.365324
-400.481758,1000,3501.187508
-498.362211,1000,3507.670111
-538.403417,1000,3539.183384
-677.755697,1000,3545.733388
-478.480089,1000,3573.927748
