# {"t_start": 1619879503.3947434, "env_id": "Fetch-M1-v0"} 
r,l,t
-735.55994,1000,273.193148
-992.467536,1000,278.453305
-1065.596045,1000,308.596965
-1088.282985,1000,315.12878
-1003.358659,1000,343.311409
-642.456861,1000,350.037196
-759.657501,1000,381.696086
-720.479022,1000,388.10712
-773.960722,1000,416.314652
-886.257765,1000,422.884185
-556.379813,1000,454.62485
-752.400678,1000,462.439163
-725.366414,1000,494.562632
-569.972817,1000,501.091422
-616.428053,1000,531.319141
-548.029195,1000,538.46386
-548.406844,1000,571.43481
-703.804658,1000,578.992521
-714.216933,1000,609.583079
-968.964694,1000,617.006577
-500.732782,1000,648.996446
-700.574222,1000,656.517063
-776.071055,1000,690.399598
-769.578208,1000,697.636969
-669.034721,1000,728.802035
-570.188306,1000,736.1331
-569.25351,1000,766.02588
-727.27977,1000,773.24333
-762.797172,1000,807.306737
-727.396008,1000,814.829638
-726.970286,1000,844.68882
-599.168853,1000,851.670827
-648.843781,1000,884.572691
-182.37746,1000,892.051075
-783.908766,1000,921.440016
-735.14387,1000,928.200023
-574.774061,1000,956.368582
-471.17569,1000,963.192783
-1009.147245,1000,999.266138
-567.836018,1000,1005.384994
-910.945094,1000,1038.004042
-1007.782253,1000,1044.622333
-776.304914,1000,1077.351501
-260.500274,1000,1085.159509
-929.863757,1000,1120.106905
-969.575802,1000,1126.89853
-265.290111,1000,1158.095482
-758.425657,1000,1165.781342
-829.160919,1000,1199.614372
-226.317334,1000,1206.310334
-765.798598,1000,1238.010954
-883.493037,1000,1245.265279
-730.032062,1000,1278.59897
-763.435835,1000,1285.782963
-948.935865,1000,1314.349993
-571.155768,1000,1321.903068
-716.791162,1000,1356.094303
-962.71748,1000,1363.763329
-585.644005,1000,1393.267838
-590.929956,1000,1400.511008
-737.225587,1000,1432.932563
-164.994991,1000,1441.068302
-537.421483,1000,1472.308034
-598.171189,1000,1479.521718
-731.38247,1000,1511.92114
-547.918843,1000,1519.61055
-843.066851,1000,1552.697085
-765.227998,1000,1558.947574
-876.772345,1000,1589.210903
-736.744287,1000,1597.101645
-853.967893,1000,1632.21209
-551.430313,1000,1639.354795
-878.93749,1000,1672.010523
-759.266203,1000,1679.718352
-703.643608,1000,1711.801975
-722.015056,1000,1718.360193
-592.254165,1000,1747.487062
-882.162928,1000,1755.056599
-766.656109,1000,1787.188726
-528.660933,1000,1793.843867
-730.985062,1000,1824.965824
-573.827469,1000,1832.788201
-764.871763,1000,1866.548341
-652.642022,1000,1873.212968
-558.831088,1000,1903.256081
-831.505654,1000,1910.582101
-602.364213,1000,1944.177139
-763.493454,1000,1951.277043
-556.787034,1000,1981.17636
-747.331392,1000,1988.77346
-453.432372,1000,2021.876395
-769.053606,1000,2029.272706
-733.618883,1000,2058.940797
-731.39365,1000,2065.98911
-592.500658,1000,2099.668028
-711.26609,1000,2107.044831
-304.807597,1000,2136.270255
-987.27685,1000,2142.811344
-570.061235,1000,2175.816345
-293.234651,1000,2183.014148
-671.536674,1000,2215.422014
-629.327813,1000,2222.899909
-714.641953,1000,2255.947694
-713.883468,1000,2264.142395
-611.856874,1000,2296.724575
-594.151317,1000,2304.016449
-753.235981,1000,2337.122245
-655.448856,1000,2344.437104
-762.143547,1000,2377.444351
-583.807181,1000,2384.581534
-738.324307,1000,2417.306628
-584.996715,1000,2425.36119
-619.586148,1000,2459.773563
-733.100025,1000,2467.258002
