# {"t_start": 1620949425.6377602, "env_id": "Fetch-M2-v0"} 
r,l,t
-852.613367,1000,62.67978
-781.817893,1000,82.647342
-657.57466,1000,101.671392
-628.893447,1000,121.614917
-1258.728441,1000,142.45224
-1297.458139,1000,162.765925
-583.02199,1000,182.49295
-553.836643,1000,203.559028
-1105.262292,1000,223.996829
-477.755766,1000,244.596905
-583.258259,1000,265.53803
-679.826425,1000,285.805864
-525.837316,1000,306.611961
-562.837817,1000,327.51431
-573.372898,1000,348.599738
-624.875463,1000,369.189626
-691.102896,1000,389.985417
-512.691171,1000,410.937404
-693.414737,1000,431.490844
-706.904826,1000,452.487374
-750.070656,1000,473.217679
-682.544632,1000,494.114247
-582.692651,1000,514.815265
-568.849088,1000,535.464671
-625.317908,1000,556.55061
-212.399978,1000,577.225893
-561.442105,1000,598.593749
-740.398269,1000,619.279643
-770.584832,1000,640.16869
-309.290953,1000,661.188339
-749.790149,1000,681.999058
-389.660049,1000,702.52028
-737.012735,1000,723.217743
-750.004238,1000,743.613759
-698.254807,1000,764.196881
-557.476021,1000,784.78107
-645.014006,1000,805.393947
-701.271933,1000,825.999851
-754.677671,1000,846.419169
-417.465556,1000,867.251692
-468.563319,1000,888.552269
-748.485069,1000,909.704237
-243.723173,1000,930.802191
-580.900551,1000,951.606413
-745.443076,1000,972.573036
-714.409283,1000,993.430313
-728.628535,1000,1014.373205
-646.864243,1000,1035.204726
-718.198167,1000,1056.869417
-562.312782,1000,1077.678163
-692.251261,1000,1098.838836
-579.241265,1000,1119.726194
-427.532586,1000,1139.492754
-597.663731,1000,1160.382915
-724.520662,1000,1181.152785
-773.442701,1000,1201.761592
-373.654013,1000,1222.438481
-690.340064,1000,1242.99547
-759.172702,1000,1263.807805
-554.119587,1000,1284.660675
-734.315603,1000,1305.382371
-265.851669,1000,1326.394134
-580.736629,1000,1347.254646
-669.791554,1000,1367.858194
-579.733537,1000,1388.81381
-680.084078,1000,1409.466254
-663.3685,1000,1430.231598
-522.533454,1000,1451.389059
-746.695151,1000,1472.122442
-656.64065,1000,1492.930053
-51.277421,1000,1514.492721
-251.683232,1000,1535.466627
-573.425246,1000,1556.333993
-322.165056,1000,1577.398539
-280.917616,1000,1599.212756
-591.372559,1000,1620.482894
-490.731066,1000,1642.008355
-352.731771,1000,1663.019208
-326.132966,1000,1684.069206
-420.443417,1000,1704.673489
-412.805947,1000,1725.599083
-764.862118,1000,1746.198774
-772.418116,1000,1767.267746
-737.250236,1000,1788.128595
-229.836638,1000,1809.476818
-612.280463,1000,1830.112166
-769.665307,1000,1850.888246
-749.204277,1000,1871.763515
-479.956388,1000,1891.9904
-394.433211,1000,1912.373467
-320.532112,1000,1933.215983
-522.609003,1000,1953.12658
-279.250454,1000,1973.707333
-648.805941,1000,1993.883663
-356.517895,1000,2014.816713
-326.844188,1000,2035.750139
-252.110303,1000,2055.284527
-232.360598,1000,2075.349398
-546.012262,1000,2094.831474
-368.315961,1000,2449.023291
-414.491317,1000,2466.692514
-573.225174,1000,2483.641284
-591.344895,1000,2500.783808
-217.247319,1000,2519.855849
-368.06062,1000,2539.66191
-943.207669,1000,2557.613926
-292.474134,1000,2576.974048
-436.581405,1000,2596.558344
-304.598976,1000,2616.474469
-311.793856,1000,2637.15283
-268.271052,1000,2657.816052
-305.521738,1000,2677.854747
-483.990888,1000,2698.391777
-300.179347,1000,2718.714578
-691.036553,1000,2739.263032
-314.090657,1000,2759.909523
-697.15859,1000,2780.140683
-280.62299,1000,2801.436307
-264.997912,1000,2822.448215
-455.960146,1000,2842.97839
-666.424828,1000,2864.161894
-671.133549,1000,2885.209864
-444.349049,1000,2905.816515
-746.433049,1000,2927.85771
-490.334494,1000,2948.635304
-612.145849,1000,2969.691436
-563.578307,1000,2990.296148
-713.452363,1000,3011.404423
-256.340515,1000,3032.139503
-302.345275,1000,3053.132995
-254.456465,1000,3074.805444
-575.017279,1000,3096.067497
-571.759655,1000,3117.579475
-708.883986,1000,3138.910229
-766.213669,1000,3160.083905
-745.289878,1000,3181.579872
-720.655873,1000,3203.846108
-162.931115,1000,3224.87656
-575.524259,1000,3246.489691
-606.984122,1000,3267.790342
-536.789243,1000,3289.547214
-757.265729,1000,3311.069172
-638.251475,1000,3332.64466
-704.358016,1000,3354.186826
-582.610519,1000,3375.976507
-761.112639,1000,3397.432381
-597.496532,1000,3419.116943
-698.50098,1000,3440.678158
-834.725916,1000,3460.878529
-748.213993,1000,3482.246296
-301.195564,1000,3503.666434
-199.962237,1000,3525.808118
-994.332944,1000,3546.301775
-240.91363,1000,3567.857939
-165.826885,1000,3589.770874
-316.293872,1000,3611.793218
-630.551,1000,3633.136081
-732.268456,1000,3654.910193
-272.68618,1000,3676.486804
-649.094574,1000,3697.932834
-578.534138,1000,3720.491481
-721.556202,1000,3741.704783
-210.969196,1000,3763.108135
-281.917447,1000,3785.719394
-653.417796,1000,3808.15568
-347.178164,1000,3829.718312
-742.503726,1000,3851.391181
-302.477761,1000,3873.60009
-537.218647,1000,3895.358714
-681.443582,1000,3916.771126
-645.408626,1000,3938.284643
-285.738273,1000,3960.155626
-365.385617,1000,3981.9352
-321.494925,1000,4003.523101
-53.966331,1000,4026.277554
-716.247356,1000,4047.952976
-665.6074,1000,4069.29403
-107.042979,1000,4090.7943
-671.090728,1000,4112.410057
-335.976817,1000,4133.545737
-590.403658,1000,4154.719534
-253.531147,1000,4176.108456
-455.020723,1000,4197.170283
-334.866831,1000,4218.611059
-629.919185,1000,4240.041537
-740.210346,1000,4261.545991
-642.32564,1000,4282.877519
-480.464182,1000,4303.921029
-341.977795,1000,4324.468093
-364.888317,1000,4345.139661
-347.552508,1000,4365.746408
-364.281022,1000,4386.629516
-573.613224,1000,4407.19608
-347.256888,1000,4427.583773
-192.310627,1000,4447.915837
-737.00025,1000,4467.941093
-309.823869,1000,4488.165714
-659.238619,1000,4508.156921
-710.223392,1000,4528.196731
-172.33847,1000,4923.092216
-725.182164,1000,4940.884099
-500.999526,1000,4958.918505
-349.251221,1000,4977.230768
-274.728921,1000,4995.085316
-488.656596,1000,5012.685378
-120.039804,1000,5030.954873
-394.558048,1000,5049.42325
-240.25281,1000,5068.051765
-505.827487,1000,5086.179326
-320.846545,1000,5105.113886
-773.036241,1000,5123.832224
-733.442226,1000,5142.64399
-580.311352,1000,5160.353109
-158.443763,1000,5180.158691
-751.889539,1000,5199.232384
-569.279962,1000,5217.919668
-357.281391,1000,5237.28862
-554.234287,1000,5256.146469
-54.011088,1000,5274.962934
-429.376695,1000,5294.030987
