# {"t_start": 1620949418.1001139, "env_id": "Fetch-M1-v0"} 
r,l,t
-1212.32575,1000,63.306384
-1171.632295,1000,84.510026
-892.134365,1000,106.1879
-922.924108,1000,127.996786
-1098.626249,1000,149.259601
-604.855652,1000,169.439086
-907.438328,1000,190.152735
-883.532062,1000,210.903946
-916.014517,1000,233.146014
-937.443471,1000,253.869576
-855.756216,1000,274.759315
-1091.810852,1000,295.570941
-1072.05539,1000,316.809843
-1147.127787,1000,337.743374
-1048.254522,1000,358.913199
-865.554172,1000,379.797708
-848.764397,1000,400.912596
-598.272023,1000,421.192181
-644.720477,1000,441.359015
-727.354774,1000,461.717826
-597.282142,1000,482.120458
-588.010881,1000,502.166654
-575.439725,1000,522.183341
-617.582598,1000,542.616687
-769.173406,1000,562.772659
-1138.591973,1000,583.696177
-769.525837,1000,603.996167
-775.994899,1000,624.487647
-573.497672,1000,644.674301
-695.908986,1000,665.063375
-619.733615,1000,685.065315
-628.874912,1000,705.301187
-682.310019,1000,726.005892
-630.308494,1000,746.382364
-591.267569,1000,766.613097
-723.217973,1000,786.882804
-924.963319,1000,808.018129
-620.273099,1000,828.530395
-767.529864,1000,849.003477
-619.398806,1000,869.383755
-586.661178,1000,890.128399
-675.864931,1000,910.499429
-699.232086,1000,930.444785
-704.534376,1000,951.181748
-798.153566,1000,971.371373
-738.422726,1000,991.703142
-745.431089,1000,1011.749366
-789.170975,1000,1031.658485
-775.696285,1000,1052.243412
-793.922756,1000,1072.586224
-606.811415,1000,1092.905069
-581.894098,1000,1112.993938
-605.650177,1000,1133.264786
-600.158658,1000,1153.223172
-534.010774,1000,1173.855422
-740.180138,1000,1194.26152
-584.187119,1000,1215.136633
-673.584021,1000,1235.381132
-528.7866,1000,1256.025586
-551.39795,1000,1276.509806
-638.744948,1000,1296.658557
-604.677561,1000,1318.111547
-540.186769,1000,1339.031862
-548.924388,1000,1360.266974
-583.58389,1000,1380.620644
-531.194698,1000,1401.452234
-550.07319,1000,1422.209332
-530.839154,1000,1443.003349
-533.809856,1000,1464.179805
-561.759184,1000,1484.954899
-540.714637,1000,1505.558488
-731.94104,1000,1526.107598
-658.31595,1000,1547.60269
-717.405185,1000,1568.659774
-569.019677,1000,1589.811965
-705.064197,1000,1611.157166
-769.94153,1000,1632.318545
-762.331763,1000,1653.299275
-595.460131,1000,1674.498937
-599.253402,1000,1696.078771
-623.919184,1000,1717.472234
-564.234351,1000,1738.854837
-687.908525,1000,1760.155872
-674.732602,1000,1780.553149
-561.810039,1000,1801.450169
-739.127655,1000,1822.450221
-609.346619,1000,1843.738825
-523.526579,1000,1864.697389
-612.1108,1000,1885.809454
-615.700866,1000,1907.153967
-706.658299,1000,1928.302168
-580.1536,1000,1948.970169
-785.368475,1000,1969.92853
-680.793412,1000,1990.893901
-703.852853,1000,2011.780286
-630.086375,1000,2032.486513
-683.081208,1000,2052.833458
