# {"t_start": 1620949416.9914002, "env_id": "Fetch-M3-v0"} 
r,l,t
-791.669487,1000,62.100828
-896.513332,1000,84.2523
-844.053121,1000,104.400913
-768.215997,1000,125.149467
-850.066579,1000,147.72885
-461.1245,1000,170.037542
-1297.379963,1000,191.963571
-1199.341613,1000,214.39272
-624.252425,1000,235.761114
-922.4863,1000,257.687967
-744.826934,1000,278.529344
-466.014039,1000,300.088208
-972.753649,1000,321.668075
-549.416989,1000,342.557947
-759.496072,1000,363.407012
-887.147953,1000,384.585386
-969.510041,1000,405.666398
-905.022238,1000,427.32662
-1014.644963,1000,449.076318
-1019.696228,1000,470.586572
-868.369954,1000,491.794335
-1060.296689,1000,512.58832
-1029.592135,1000,533.802225
-1059.044079,1000,555.259017
-1095.463592,1000,576.61763
-997.278437,1000,597.639335
-947.46171,1000,618.398864
-989.005165,1000,639.590517
-1049.46527,1000,660.488662
-1101.266092,1000,681.281487
-360.989784,1000,702.825174
-665.82871,1000,723.644612
-432.551013,1000,745.555439
-543.571535,1000,767.618129
-590.766038,1000,789.460022
-700.170096,1000,810.64947
-175.796774,1000,832.324565
-584.186157,1000,853.257959
-180.412273,1000,875.079998
-289.710137,1000,896.897057
-161.352533,1000,920.114511
-482.126127,1000,941.913363
-498.888004,1000,966.620883
-157.347996,1000,989.208341
-109.161097,1000,1010.644659
-511.004216,1000,1032.987805
-180.723084,1000,1054.624289
-180.100053,1000,1076.54725
-198.222221,1000,1098.53154
-207.746329,1000,1119.915939
-190.296043,1000,1141.52413
-159.494398,1000,1164.292951
-177.060072,1000,1186.153849
-150.653419,1000,1208.353463
-171.110208,1000,1230.300193
-214.139379,1000,1252.211862
-158.040272,1000,1274.306931
-196.372044,1000,1295.828965
-136.088916,1000,1317.236115
-285.496501,1000,1338.974473
-146.336621,1000,1361.519329
-202.705952,1000,1383.95343
-229.019443,1000,1405.852322
-169.491737,1000,1427.697593
-203.705589,1000,1449.938093
-152.311345,1000,1471.143943
-127.06673,1000,1492.407315
-189.09124,1000,1514.745767
-134.874882,1000,1536.580834
-183.58534,1000,1558.828564
-209.750753,1000,1581.337397
-109.596006,1000,1603.990626
-136.49163,1000,1627.103083
-117.640758,1000,1648.907858
-496.055323,1000,1671.057839
-134.630848,1000,1692.51115
-146.244062,1000,1714.115798
-157.318989,1000,1735.858247
-144.85796,1000,1757.664774
-189.430537,1000,1780.119919
-148.701805,1000,1802.241511
-147.150795,1000,1824.021751
-175.111331,1000,1845.923728
-188.350399,1000,1867.526373
-250.698598,1000,1889.582807
-151.560044,1000,1911.383981
-100.038933,1000,1932.646853
-172.99348,1000,1954.244107
-121.925873,1000,1975.875478
-206.161168,1000,1997.49935
-139.351886,1000,2018.797279
-202.642978,1000,2040.465506
-496.064382,1000,2060.777198
-94.225266,1000,2082.238215
-148.493707,1000,2103.081685
-111.486328,1000,2122.396001
-367.633646,1000,2142.191243
-198.086586,1000,2160.642676
-254.851095,1000,2178.646271
-145.162024,1000,2536.065246
-114.625159,1000,2555.930314
-440.815766,1000,2578.846285
-332.338576,1000,2599.228375
-109.143495,1000,2620.592437
-501.723376,1000,2641.185608
-178.895938,1000,2662.644054
-198.290724,1000,2684.378073
-648.628381,1000,2705.017764
-410.451741,1000,2726.786924
-181.932563,1000,2748.789593
-666.933678,1000,2770.469423
-252.759344,1000,2791.2777
-151.869604,1000,2812.78165
-273.425073,1000,2834.94283
-437.715427,1000,2857.034227
-473.242926,1000,2882.207658
-193.86948,1000,2903.881402
-286.469508,1000,2925.281209
-254.132161,1000,2946.615868
-128.723727,1000,2968.040233
-227.677515,1000,2989.563738
-646.953836,1000,3011.391404
-153.234018,1000,3032.986512
-228.896279,1000,3054.844944
-195.930656,1000,3076.694368
-259.955594,1000,3098.064971
-706.948621,1000,3119.272874
-326.887553,1000,3140.905524
-197.016671,1000,3162.038136
-237.882946,1000,3183.210341
-525.134975,1000,3206.535517
-462.986843,1000,3228.937626
-145.481255,1000,3251.025838
-116.051435,1000,3273.052206
-335.698479,1000,3295.478814
-174.108428,1000,3317.522222
-271.494496,1000,3339.939929
-301.294783,1000,3362.303042
-149.708998,1000,3384.264123
-526.423496,1000,3407.239428
-556.864985,1000,3429.496665
-281.683184,1000,3452.013837
-789.189522,1000,3475.612288
-717.183394,1000,3499.636082
-877.549225,1000,3525.304288
-124.252887,1000,3547.79117
-121.790002,1000,3571.538788
-441.777887,1000,3594.100284
-655.463582,1000,3615.974202
-667.969681,1000,3638.665912
-170.159456,1000,3661.043677
-825.357361,1000,3683.160777
-635.975207,1000,3705.358237
-328.98502,1000,3730.05946
-552.563172,1000,3752.983307
-792.742489,1000,3775.246485
-444.118026,1000,3797.922534
-644.023742,1000,3820.248642
-497.737076,1000,3842.907225
-147.901906,1000,3865.34614
-170.403628,1000,3887.793349
-674.696347,1000,3910.748613
-612.927863,1000,3932.881968
-324.675061,1000,3955.351584
-579.350317,1000,3978.115751
-581.138146,1000,4000.687266
-154.201217,1000,4022.772409
-604.733449,1000,4044.98354
-601.159045,1000,4067.287617
-569.358115,1000,4090.12332
-628.194934,1000,4112.521812
-581.444093,1000,4134.746286
-586.08774,1000,4157.176393
-112.749733,1000,4179.564081
-483.543454,1000,4201.882012
-467.985983,1000,4226.676589
-917.008884,1000,4248.271671
-101.000975,1000,4270.92017
-130.409547,1000,4292.956929
-345.67258,1000,4314.974016
-147.104624,1000,4336.482495
-373.15965,1000,4360.219036
-105.44116,1000,4381.543406
-116.495785,1000,4402.903823
-167.520689,1000,4424.235859
-153.118344,1000,4445.43253
-123.585197,1000,4466.829453
-121.73004,1000,4488.321625
-129.15511,1000,4509.22644
-208.783689,1000,4529.42153
-275.188623,1000,4549.600845
-282.615199,1000,4569.751251
-451.694655,1000,4590.535777
-464.171044,1000,4612.20344
-567.850514,1000,4635.180509
-851.463881,1000,4659.327976
-757.522997,1000,4680.299176
-362.115523,1000,4700.676991
-203.964107,1000,4718.722672
-445.898758,1000,5118.119985
-823.026427,1000,5137.241936
-189.279354,1000,5157.260001
-549.779027,1000,5178.163193
-127.806745,1000,5197.776888
-652.520096,1000,5218.793451
-505.082537,1000,5238.932993
-514.556926,1000,5259.205107
-126.298109,1000,5278.542672
-558.229271,1000,5299.908827
-118.776007,1000,5319.789395
-158.301015,1000,5338.984223
-530.416645,1000,5359.803533
-484.461215,1000,5380.955524
-167.464971,1000,5399.625758
-692.725874,1000,5420.086085
-438.87373,1000,5440.592682
-316.56753,1000,5458.31573
-617.385042,1000,5478.739984
-152.693507,1000,5495.829906
-268.724502,1000,5512.926079
-105.889194,1000,5530.24955
-110.973426,1000,5547.531648
-99.025397,1000,5564.369527
-940.672647,1000,5581.62876
-94.803721,1000,5598.945955
-128.79271,1000,5616.048458
-311.63921,1000,5635.439885
-100.784539,1000,5652.885397
-134.835278,1000,5670.115982
-463.341749,1000,5688.378603
-162.567144,1000,5705.334279
-147.461174,1000,5721.998325
-139.530638,1000,5738.969905
-49.953094,1000,5756.057457
-107.800775,1000,5773.024708
-80.853898,1000,5790.076973
-793.677368,1000,5807.629088
-103.471512,1000,5824.490814
-1001.642428,1000,5841.654928
-129.623883,1000,5858.915478
-158.531965,1000,5875.798191
-106.277017,1000,5892.782793
-330.396522,1000,5913.148986
-156.805278,1000,5930.653558
-209.149714,1000,5947.863372
-535.535903,1000,5964.867884
-585.312451,1000,5982.079299
-133.397753,1000,5998.836202
-333.108751,1000,6015.153558
-302.744546,1000,6032.45131
-214.711986,1000,6049.981441
-204.012935,1000,6067.319927
-1185.925006,1000,6084.301538
-1270.062437,1000,6101.228769
-469.113048,1000,6120.516753
-210.163359,1000,6137.333587
-277.271007,1000,6154.278932
-51.995171,1000,6171.344589
-251.626883,1000,6188.358475
-204.599667,1000,6205.152078
-58.987946,1000,6222.292846
-117.578787,1000,6239.476404
-125.666949,1000,6256.370689
-81.330152,1000,6273.777217
-45.213238,1000,6290.961633
-51.268224,1000,6308.696742
-1272.627769,1000,6325.752122
-396.154102,1000,6344.74922
-1192.82572,1000,6361.845767
-1262.441436,1000,6379.001713
-1255.887467,1000,6396.038151
-1150.068874,1000,6413.181422
-1184.097525,1000,6430.17031
-92.872045,1000,6447.411205
