# {"t_start": 1620949425.295335, "env_id": "Fetch-M3-v0"} 
r,l,t
-528.089615,1000,69.046575
-1177.692226,1000,90.853416
-747.345751,1000,111.056266
-563.391161,1000,133.0353
-1081.48493,1000,154.463944
-230.978632,1000,176.549458
-566.736356,1000,198.686916
-495.309028,1000,219.585069
-1138.245781,1000,241.601923
-609.462317,1000,263.667207
-792.601946,1000,286.02398
-383.133793,1000,308.121113
-633.051212,1000,328.907923
-287.340272,1000,351.076117
-498.256904,1000,371.654698
-693.546451,1000,392.862373
-682.728146,1000,414.677398
-717.261653,1000,437.141246
-576.8611,1000,459.826509
-590.467472,1000,482.571239
-557.490532,1000,504.268593
-1117.494154,1000,524.834772
-799.846508,1000,545.07019
-453.861069,1000,567.559179
-345.710431,1000,589.725791
-402.860001,1000,612.040634
-509.27611,1000,632.255679
-480.118209,1000,652.693533
-465.134738,1000,674.112575
-594.893013,1000,694.974582
-716.634021,1000,716.14684
-379.159629,1000,738.179526
-1081.100155,1000,758.875732
-341.35197,1000,779.240113
-332.56108,1000,799.897015
-623.803941,1000,820.038821
-119.77746,1000,841.856628
-369.933616,1000,862.64787
-129.330592,1000,884.608034
-423.886405,1000,904.899643
-595.121124,1000,925.573905
-649.234889,1000,946.421198
-285.835712,1000,966.842262
-389.454185,1000,986.978618
-135.015007,1000,1008.659212
-508.270372,1000,1028.566324
-499.678072,1000,1049.369284
-347.94614,1000,1070.329659
-190.536096,1000,1090.801343
-289.922499,1000,1112.917671
-583.233208,1000,1135.196847
-191.916354,1000,1157.303492
-567.312342,1000,1179.233221
-348.549106,1000,1199.724518
-305.885825,1000,1221.899457
-640.107807,1000,1243.670415
-591.142111,1000,1266.15776
-734.856492,1000,1287.83853
-318.311413,1000,1308.909348
-1201.405946,1000,1329.424447
-700.888243,1000,1351.18415
-397.880284,1000,1373.499886
-431.02538,1000,1396.101799
-570.383818,1000,1417.784278
-597.748544,1000,1440.404539
-995.534818,1000,1461.276423
-585.870094,1000,1484.18674
-740.096802,1000,1505.802193
-148.780931,1000,1527.013141
-778.201712,1000,1548.608637
-759.012836,1000,1570.516944
-1033.113075,1000,1592.220814
-646.939672,1000,1613.447427
-674.11597,1000,1635.605695
-322.754117,1000,1656.801978
-733.198904,1000,1678.550169
-765.573488,1000,1700.450435
-690.757351,1000,1722.536148
-266.627563,1000,1743.752732
-475.044703,1000,1765.600851
-565.653898,1000,1787.416598
-471.897406,1000,1810.378909
-730.929765,1000,1832.948864
-654.981592,1000,1855.169879
-732.744954,1000,1877.555434
-294.146521,1000,1899.966347
-283.748552,1000,1921.741209
-212.339316,1000,1943.498476
-497.252513,1000,1964.835625
-354.847327,1000,1986.388049
-413.674327,1000,2007.882251
-224.315563,1000,2029.016907
-205.319776,1000,2049.499165
-324.35673,1000,2071.409254
-565.313174,1000,2091.286322
-468.565945,1000,2111.103714
-355.750705,1000,2131.153514
-374.724813,1000,2150.254979
-474.783513,1000,2168.501621
-564.069568,1000,2505.563927
-430.342836,1000,2525.40543
-591.136016,1000,2546.238753
-417.290374,1000,2566.142838
-779.543734,1000,2586.304222
-264.528499,1000,2608.095984
-441.917319,1000,2630.435718
-290.008424,1000,2652.148641
-341.916508,1000,2674.130795
-542.633031,1000,2696.960861
-576.487931,1000,2717.620121
