# {"t_start": 1620949415.9712982, "env_id": "Fetch-M2-v0"} 
r,l,t
-1106.053402,1000,59.82598
-720.691783,1000,80.66812
-864.415621,1000,102.253973
-491.918146,1000,122.524059
-563.627091,1000,142.288484
-514.127065,1000,162.545816
-1108.185463,1000,183.19424
-1210.065241,1000,203.66029
-1085.678941,1000,224.855567
-628.405802,1000,244.571141
-767.602611,1000,264.466587
-622.165211,1000,284.468265
-506.389683,1000,304.148769
-760.575587,1000,323.787243
-720.704804,1000,343.916634
-673.515858,1000,364.037955
-619.879411,1000,383.807332
-601.03899,1000,403.608586
-640.382962,1000,423.184268
-514.902162,1000,443.332969
-629.683893,1000,463.295238
-599.815657,1000,483.193291
-569.759008,1000,503.063635
-636.025115,1000,523.029689
-730.609508,1000,542.98158
-677.113968,1000,562.882319
-692.412027,1000,583.197889
-623.589941,1000,603.017692
-698.579219,1000,622.964226
-658.876953,1000,642.964469
-703.624225,1000,663.066817
-672.480027,1000,682.394295
-669.788208,1000,702.309005
-664.638737,1000,722.539833
-535.36037,1000,742.345103
-727.052228,1000,762.197807
-535.003189,1000,782.28797
-699.109775,1000,802.317981
-542.173754,1000,822.276682
-747.102061,1000,842.201901
-627.2423,1000,862.402383
-718.597219,1000,882.181383
-539.028126,1000,902.010733
-598.642141,1000,921.534504
-707.598081,1000,941.320731
-702.252254,1000,961.096483
-608.339345,1000,981.164089
-502.995983,1000,1000.884754
-619.642355,1000,1020.573026
-676.409694,1000,1040.233337
-494.365136,1000,1060.504749
-697.655946,1000,1081.225423
-692.478981,1000,1100.86813
-542.173143,1000,1120.598336
-437.505746,1000,1139.974593
-593.476609,1000,1160.630764
-537.966045,1000,1180.899247
-678.179049,1000,1201.079998
-495.871018,1000,1220.916142
-554.353017,1000,1240.732838
-618.133217,1000,1260.621261
-605.748556,1000,1280.889907
-683.091625,1000,1300.644271
-579.097725,1000,1320.375448
-696.787134,1000,1340.452555
-556.788226,1000,1360.879347
-630.265172,1000,1380.692908
-497.295104,1000,1400.299063
-529.936236,1000,1419.984919
-702.236075,1000,1439.807027
-669.493795,1000,1460.071518
-499.734858,1000,1479.912746
-535.981703,1000,1500.736922
-677.898094,1000,1520.610248
-699.410013,1000,1540.30408
-625.039273,1000,1560.054959
-686.370495,1000,1580.204385
-467.384682,1000,1600.413177
-489.589251,1000,1620.16407
-676.559967,1000,1640.143834
-700.163167,1000,1660.098983
-723.467958,1000,1680.108754
-704.147521,1000,1699.872947
-462.322701,1000,1720.451898
-716.408481,1000,1740.571206
-553.759287,1000,1760.111335
-450.522728,1000,1779.822226
-635.848786,1000,1799.747595
-671.593703,1000,1819.900636
-679.096879,1000,1839.977861
-702.717321,1000,1860.296744
-481.419238,1000,1880.323671
-502.971759,1000,1900.814747
-638.315232,1000,1921.907529
-482.04447,1000,1941.777214
-564.851687,1000,1961.507127
-527.948527,1000,1981.259422
-437.884765,1000,2000.755328
-444.63282,1000,2020.661601
-1150.341772,1000,2351.751698
-1114.908551,1000,2367.273446
-481.176326,1000,2382.160124
-708.328073,1000,2397.658647
-467.050823,1000,2412.959117
-437.714518,1000,2428.375346
-482.880082,1000,2444.229594
-722.051341,1000,2460.148975
-667.380974,1000,2476.669336
-493.827131,1000,2493.274865
-657.80196,1000,2509.969978
-827.215666,1000,2528.16378
-663.4461,1000,2546.585651
-528.576528,1000,2564.872804
-650.078667,1000,2583.460654
-591.286418,1000,2602.748223
-403.874047,1000,2621.868291
-675.328749,1000,2641.187574
-723.912127,1000,2661.474918
-917.500485,1000,2682.160222
-557.398472,1000,2703.104487
-668.830506,1000,2724.285783
-577.724249,1000,2745.007534
-729.594897,1000,2765.624204
-761.359297,1000,2787.107646
-724.875284,1000,2808.824529
-672.694755,1000,2829.91357
-743.850063,1000,2850.964066
-143.845666,1000,2872.122681
-713.275758,1000,2893.327662
-730.104391,1000,2914.758588
-457.532984,1000,2936.064174
